sciname,aphia_id,valid_sciname
centrophorus isodon,271618,centrophorus isodon
centrophorus lesliei,1385217,centrophorus lesliei
centrophorus longipinnis,1385219,centrophorus longipinnis
centrophorus lusitanicus,105900,centrophorus lusitanicus
centrophorus moluccensis,215598,centrophorus moluccensis
centrophorus seychellorum,388405,centrophorus seychellorum
centrophorus squamosus,105901,centrophorus squamosus
centrophorus tessellatus,271619,centrophorus tessellatus
centrophorus uyato,105902,centrophorus uyato
centrophorus westraliensis,398265,centrophorus westraliensis
centrophorus zeehaani,398266,centrophorus zeehaani
centroscyllium excelsum,271620,centroscyllium excelsum
centroscyllium fabricii,105906,centroscyllium fabricii
centroscyllium granulatum,271621,centroscyllium granulatum
centroscyllium kamoharai,271622,centroscyllium kamoharai
centroscyllium nigrum,271623,centroscyllium nigrum
centroscyllium ornatum,271624,centroscyllium ornatum
centroscyllium ritteri,271625,centroscyllium ritteri
centroscymnus coelolepis,105907,centroscymnus coelolepis
centroscymnus owstonii,299089,centroscymnus owstonii
cephaloscyllium albipinnum,398241,cephaloscyllium albipinnum
cephaloscyllium cooki,398243,cephaloscyllium cooki
cephaloscyllium fasciatum,277100,cephaloscyllium fasciatum
cephaloscyllium hiscosellum,398244,cephaloscyllium hiscosellum
cephaloscyllium laticeps,277102,cephaloscyllium laticeps
cephaloscyllium pictum,398245,cephaloscyllium pictum
cephaloscyllium sarawakense,398246,cephaloscyllium sarawakense
cephaloscyllium signourum,398247,cephaloscyllium signourum
cephaloscyllium silasi,277103,cephaloscyllium silasi
cephaloscyllium speccum,398248,cephaloscyllium speccum
cephaloscyllium stevensi,712375,cephaloscyllium stevensi
cephaloscyllium sufflans,217637,cephaloscyllium sufflans
cephaloscyllium umbratile,277104,cephaloscyllium umbratile
cephaloscyllium variegatum,398249,cephaloscyllium variegatum
cephaloscyllium ventriosum,277105,cephaloscyllium ventriosum
cephaloscyllium zebrum,398250,cephaloscyllium zebrum
cephalurus cephalus,280077,cephalurus cephalus
cetorhinus maximus,105837,cetorhinus maximus
chaenogaleus macrostoma,280095,chaenogaleus macrostoma
chiloscyllium arabicum,277827,chiloscyllium arabicum
chiloscyllium burmense,277828,chiloscyllium burmense
chiloscyllium caeruleopunctatum,399526,chiloscyllium caeruleopunctatum
chiloscyllium griseum,277829,chiloscyllium griseum
chiloscyllium hasseltii,277830,chiloscyllium hasseltii
chiloscyllium indicum,367212,chiloscyllium indicum
chiloscyllium plagiosum,277832,chiloscyllium plagiosum
chiloscyllium punctatum,277833,chiloscyllium punctatum
chimaera argiloba,398335,chimaera argiloba
chimaera bahamaensis,712405,chimaera bahamaensis
chimaera buccanigella,1042810,chimaera buccanigella
chimaera carophila,835215,chimaera carophila
chimaera compacta,1498350,chimaera compacta
chimaera cubana,271396,chimaera cubana
chimaera didierae,1042808,chimaera didierae
chimaera fulva,398336,chimaera fulva
chimaera jordani,271397,chimaera jordani
chimaera lignaria,271398,chimaera lignaria
chimaera macrospina,398337,chimaera macrospina
chimaera monstrosa,105824,chimaera monstrosa
chimaera notafricana,712406,chimaera notafricana
chimaera obscura,398338,chimaera obscura
chimaera opalescens,712407,chimaera opalescens
chimaera orientalis,835216,chimaera orientalis
chimaera owstoni,271399,chimaera owstoni
chimaera panthera,271400,chimaera panthera
chimaera phantasma,271401,chimaera phantasma
chimaera willwatchi,1042811,chimaera willwatchi
chlamydoselachus africana,474887,chlamydoselachus africana
chlamydoselachus anguineus,105831,chlamydoselachus anguineus
cirrhigaleus asper,217366,cirrhigaleus asper
cirrhigaleus australis,279156,cirrhigaleus australis
cirrhigaleus barbifer,279157,cirrhigaleus barbifer
cirrhoscyllium expolitum,280193,cirrhoscyllium expolitum
cirrhoscyllium formosanum,280194,cirrhoscyllium formosanum
cirrhoscyllium japonicum,280195,cirrhoscyllium japonicum
crassinarke dormitor,280414,crassinarke dormitor
cruriraja andamanica,217385,cruriraja andamanica
cruriraja atlantis,277288,cruriraja atlantis
cruriraja cadenati,277289,cruriraja cadenati
cruriraja durbanensis,217386,cruriraja durbanensis
cruriraja hulleyi,712394,cruriraja hulleyi
cruriraja parcomaculata,217384,cruriraja parcomaculata
cruriraja poeyi,277290,cruriraja poeyi
cruriraja rugosa,277291,cruriraja rugosa
ctenacis fehlmanni,220033,ctenacis fehlmanni
dactylobatus armatus,280474,dactylobatus armatus
dactylobatus clarkii,280475,dactylobatus clarkii
dalatias licha,105910,dalatias licha
dasyatis brevis,271428,dasyatis brevis
dasyatis chrysonota,212250,dasyatis chrysonota
dasyatis gigantea,271433,dasyatis gigantea
dasyatis hastata,271435,dasyatis hastata
dasyatis hypostigma,271436,dasyatis hypostigma
dasyatis marmorata,271445,dasyatis marmorata
dasyatis multispinosa,271448,dasyatis multispinosa
dasyatis pastinaca,105851,dasyatis pastinaca
dasyatis tortonesei,105852,dasyatis tortonesei
deania hystricosa,105904,deania hystricosa
deania profundorum,105905,deania profundorum
deania quadrispinosa,217367,deania quadrispinosa
dentiraja australis,1019871,dentiraja australis
dentiraja cerva,1014949,dentiraja cerva
dentiraja confusa,1043487,dentiraja confusa
dentiraja falloargus,1043488,dentiraja falloargus
dentiraja flindersi,398286,dentiraja flindersi
dentiraja healdi,1043489,dentiraja healdi
dentiraja lemprieri,712395,dentiraja lemprieri
dentiraja oculus,1486856,dentiraja oculus
dentiraja polyommata,1017854,dentiraja polyommata
diplobatis colombiensis,280549,diplobatis colombiensis
diplobatis guamachensis,280550,diplobatis guamachensis
diplobatis ommata,280551,diplobatis ommata
diplobatis picta,399668,diplobatis picta
dipturus acrobelus,398287,dipturus acrobelus
dipturus amphispinus,835220,dipturus amphispinus
dipturus apricus,398288,dipturus apricus
dipturus argentinensis,398289,dipturus argentinensis
dipturus batis,105869,dipturus batis
dipturus brevicaudatus,1448888,dipturus brevicaudatus
dipturus bullisi,271541,dipturus bullisi
dipturus campbelli,217393,dipturus campbelli
dipturus canutus,398291,dipturus canutus
dipturus chinensis,1419311,dipturus chinensis
dipturus crosnieri,217388,dipturus crosnieri
dipturus diehli,271543,dipturus diehli
dipturus doutrei,217390,dipturus doutrei
dipturus ecuadoriensis,271544,dipturus ecuadoriensis
dipturus flavirostris,271545,dipturus flavirostris
dipturus garricki,271546,dipturus garricki
dipturus gigas,271547,dipturus gigas
dipturus grahamorum,1525188,dipturus grahamorum
dipturus gudgeri,271548,dipturus gudgeri
dipturus innominatus,271549,dipturus innominatus
dipturus intermedius,711846,dipturus intermedius
dipturus johannisdavisi,271550,dipturus johannisdavisi
dipturus kwangtungensis,271551,dipturus kwangtungensis
dipturus laevis,158548,dipturus laevis
dipturus lamillai,1523924,dipturus lamillai
dipturus lanceorostratus,217394,dipturus lanceorostratus
dipturus leptocauda,271552,dipturus leptocauda
dipturus macrocauda,271553,dipturus macrocauda
dipturus melanospilus,398298,dipturus melanospilus
dipturus mennii,271554,dipturus mennii
dipturus nidarosiensis,105871,dipturus nidarosiensis
dipturus olseni,271556,dipturus olseni
dipturus oregoni,271557,dipturus oregoni
dipturus oxyrinchus,105872,dipturus oxyrinchus
dipturus pullopunctatus,217389,dipturus pullopunctatus
dipturus queenslandicus,398300,dipturus queenslandicus
dipturus springeri,217392,dipturus springeri
dipturus stenorhynchus,217391,dipturus stenorhynchus
dipturus teevani,271560,dipturus teevani
dipturus tengu,271561,dipturus tengu
dipturus trachyderma,271562,dipturus trachyderma
dipturus wengi,398301,dipturus wengi
dipturus wuhanlingi,398303,dipturus wuhanlingi
discopyge castelloi,474891,discopyge castelloi
discopyge tschudii,280568,discopyge tschudii
echinorhinus brucus,105922,echinorhinus brucus
echinorhinus cookei,271656,echinorhinus cookei
electrolux addisoni,398282,electrolux addisoni
eridacnis barbouri,278800,eridacnis barbouri
eridacnis radcliffei,220034,eridacnis radcliffei
eridacnis sinuans,220035,eridacnis sinuans
etmopterus alphus,1043612,etmopterus alphus
etmopterus benchleyi,1006938,etmopterus benchleyi
etmopterus bigelowi,215605,etmopterus bigelowi
etmopterus brachyurus,215606,etmopterus brachyurus
etmopterus bullisi,158521,etmopterus bullisi
etmopterus burgessi,271628,etmopterus burgessi
etmopterus carteri,271629,etmopterus carteri
etmopterus caudistigmus,271630,etmopterus caudistigmus
etmopterus compagnoi,215602,etmopterus compagnoi
etmopterus decacuspidatus,271631,etmopterus decacuspidatus
etmopterus dianthus,271632,etmopterus dianthus
etmopterus dislineatus,271633,etmopterus dislineatus
etmopterus evansi,271634,etmopterus evansi
etmopterus fusus,271635,etmopterus fusus
etmopterus gracilispinis,158523,etmopterus gracilispinis
etmopterus granulosus,215607,etmopterus granulosus
etmopterus hillianus,158522,etmopterus hillianus
etmopterus joungi,712380,etmopterus joungi
etmopterus lailae,1023351,etmopterus lailae
etmopterus litvinovi,271636,etmopterus litvinovi
etmopterus lucifer,215604,etmopterus lucifer
etmopterus marshae,1307329,etmopterus marshae
etmopterus molleri,215603,etmopterus molleri
etmopterus parini,1493485,etmopterus parini
etmopterus perryi,271637,etmopterus perryi
etmopterus polli,271638,etmopterus polli
etmopterus princeps,105911,etmopterus princeps
etmopterus pseudosqualiolus,271639,etmopterus pseudosqualiolus
etmopterus pusillus,105912,etmopterus pusillus
etmopterus pycnolepis,271640,etmopterus pycnolepis
etmopterus robinsi,271641,etmopterus robinsi
etmopterus samadiae,1042795,etmopterus samadiae
etmopterus schultzi,271642,etmopterus schultzi
etmopterus sculptus,712381,etmopterus sculptus
etmopterus sentosus,215601,etmopterus sentosus
etmopterus spinax,105913,etmopterus spinax
etmopterus splendidus,271643,etmopterus splendidus
etmopterus unicolor,271645,etmopterus unicolor
etmopterus viator,712382,etmopterus viator
etmopterus villosus,271646,etmopterus villosus
etmopterus virens,271647,etmopterus virens
eucrossorhinus dasypogon,298163,eucrossorhinus dasypogon
euprotomicroides zantedeschia,221457,euprotomicroides zantedeschia
euprotomicrus bispinatus,215608,euprotomicrus bispinatus
eusphyra blochii,280757,eusphyra blochii
fenestraja atripinna,275414,fenestraja atripinna
fenestraja cubensis,275415,fenestraja cubensis
fenestraja ishiyamai,275416,fenestraja ishiyamai
fenestraja maceachrani,217395,fenestraja maceachrani
fenestraja mamillidens,275417,fenestraja mamillidens
fenestraja plutonia,158550,fenestraja plutonia
fenestraja sibogae,275418,fenestraja sibogae
fenestraja sinusmexicanus,275419,fenestraja sinusmexicanus
figaro boardmani,318064,figaro boardmani
figaro striatus,398251,figaro striatus
fontitrygon colarensis,1042836,fontitrygon colarensis
fontitrygon geijskesi,1042837,fontitrygon geijskesi
fontitrygon margarita,1042838,fontitrygon margarita
fontitrygon margaritella,1042839,fontitrygon margaritella
furgaleus macki,280805,furgaleus macki
galeocerdo cuvier,105799,galeocerdo cuvier
galeorhinus galeus,105820,galeorhinus galeus
galeus antillensis,271354,galeus antillensis
galeus arae,271355,galeus arae
galeus atlanticus,105811,galeus atlanticus
galeus cadenati,271357,galeus cadenati
galeus corriganae,1385040,galeus corriganae
galeus eastmani,271358,galeus eastmani
galeus gracilis,271359,galeus gracilis
galeus longirostris,271360,galeus longirostris
galeus melastomus,105812,galeus melastomus
galeus mincaronei,271361,galeus mincaronei
galeus murinus,105813,galeus murinus
galeus nipponensis,271362,galeus nipponensis
galeus piperatus,271363,galeus piperatus
galeus polli,271364,galeus polli
galeus priapus,398252,galeus priapus
galeus sauteri,271365,galeus sauteri
galeus schultzi,271366,galeus schultzi
galeus springeri,271367,galeus springeri
ginglymostoma cirratum,105846,ginglymostoma cirratum
ginglymostoma unami,1006832,ginglymostoma unami
glaucostegus cemiculus,1016062,glaucostegus cemiculus
glaucostegus granulatus,280873,glaucostegus granulatus
glaucostegus halavi,280874,glaucostegus halavi
glaucostegus microphthalmus,1524856,glaucostegus microphthalmus
glaucostegus obtusus,1022265,glaucostegus obtusus
glaucostegus petiti,1042842,glaucostegus petiti
glaucostegus thouin,712954,glaucostegus thouin
glaucostegus typus,280875,glaucostegus typus
glyphis gangeticus,277183,glyphis gangeticus
glyphis garricki,398263,glyphis garricki
glyphis glyphis,277184,glyphis glyphis
glyphis siamensis,277185,glyphis siamensis
gogolia filewoodi,280911,gogolia filewoodi
gollum attenuatus,280912,gollum attenuatus
gollum suluensis,712376,gollum suluensis
gurgesiella atlantica,280949,gurgesiella atlantica
gurgesiella dorsalifera,280950,gurgesiella dorsalifera
gurgesiella furvescens,280951,gurgesiella furvescens
gymnura afuerae,271473,gymnura afuerae
gymnura altavela,105856,gymnura altavela
gymnura australis,271474,gymnura australis
gymnura bimaculata,271475,gymnura bimaculata
gymnura crebripunctata,271476,gymnura crebripunctata
gymnura crooki,271477,gymnura crooki
gymnura hirundo,271478,gymnura hirundo
gymnura japonica,215609,gymnura japonica
gymnura lessae,1385198,gymnura lessae
gymnura marmorata,271479,gymnura marmorata
gymnura micrura,158529,gymnura micrura
gymnura natalensis,215610,gymnura natalensis
gymnura poecilura,215611,gymnura poecilura
gymnura sereti,1456340,gymnura sereti
gymnura tentaculata,298791,gymnura tentaculata
gymnura zonura,298792,gymnura zonura
halaelurus boesemani,217638,halaelurus boesemani
halaelurus buergeri,278697,halaelurus buergeri
halaelurus lineatus,217641,halaelurus lineatus
halaelurus maculosus,398253,halaelurus maculosus
halaelurus natalensis,217643,halaelurus natalensis
halaelurus quagga,217640,halaelurus quagga
halaelurus sellus,398254,halaelurus sellus
haploblepharus edwardsii,217646,haploblepharus edwardsii
haploblepharus fuscus,217644,haploblepharus fuscus
haploblepharus kistnasamyi,295747,haploblepharus kistnasamyi
haploblepharus pictus,217645,haploblepharus pictus
harriotta raleighana,105829,harriotta raleighana
hemigaleus australiensis,281023,hemigaleus australiensis
hemigaleus microstoma,281024,hemigaleus microstoma
hemipristis elongata,277427,hemipristis elongata
hemiscyllium freycineti,281035,hemiscyllium freycineti
hemiscyllium galei,398233,hemiscyllium galei
hemiscyllium hallstromi,281036,hemiscyllium hallstromi
hemiscyllium halmahera,739293,hemiscyllium halmahera
hemiscyllium henryi,398234,hemiscyllium henryi
hemiscyllium michaeli,474888,hemiscyllium michaeli
hemiscyllium ocellatum,281037,hemiscyllium ocellatum
hemiscyllium strahani,281038,hemiscyllium strahani
hemiscyllium trispeculare,281039,hemiscyllium trispeculare
hemitriakis abdita,281040,hemitriakis abdita
hemitriakis complicofasciata,389060,hemitriakis complicofasciata
hemitriakis falcata,281041,hemitriakis falcata
hemitriakis indroyonoi,712377,hemitriakis indroyonoi
hemitriakis japanica,281042,hemitriakis japanica
hemitriakis leucoperiptera,281043,hemitriakis leucoperiptera
hemitrygon akajei,1042845,hemitrygon akajei
hemitrygon bennettii,1042846,hemitrygon bennettii
hemitrygon fluviorum,1042847,hemitrygon fluviorum
hemitrygon izuensis,1042848,hemitrygon izuensis
hemitrygon laevigata,1042850,hemitrygon laevigata
hemitrygon longicauda,1042851,hemitrygon longicauda
hemitrygon navarrae,1042852,hemitrygon navarrae
hemitrygon parvonigra,1042853,hemitrygon parvonigra
hemitrygon sinensis,1042854,hemitrygon sinensis
hemitrygon yemenensis,1493631,hemitrygon yemenensis
heptranchias perlo,105832,heptranchias perlo
heterodontus francisci,276694,heterodontus francisci
heterodontus galeatus,276695,heterodontus galeatus
heterodontus japonicus,276696,heterodontus japonicus
heterodontus mexicanus,276697,heterodontus mexicanus
heterodontus omanensis,276698,heterodontus omanensis
heterodontus portusjacksoni,276699,heterodontus portusjacksoni
heterodontus quoyi,276700,heterodontus quoyi
heterodontus ramalheira,217626,heterodontus ramalheira
heterodontus zebra,276701,heterodontus zebra
heteronarce bentuviai,278300,heteronarce bentuviai
heteronarce garmani,220971,heteronarce garmani
heteronarce mollis,278301,heteronarce mollis
heteronarce prabhui,278302,heteronarce prabhui
heteroscymnoides marleyi,221458,heteroscymnoides marleyi
hexanchus griseus,105833,hexanchus griseus
hexanchus nakamurai,105834,hexanchus nakamurai
hexatrygon bickelli,221455,hexatrygon bickelli
himantura alcockii,271455,himantura alcockii
himantura australis,1006795,himantura australis
himantura fava,298783,himantura fava
himantura fluviatilis,271458,himantura fluviatilis
himantura leoparda,398328,himantura leoparda
himantura marginata,298785,himantura marginata
himantura microphthalma,271463,himantura microphthalma
himantura pareh,271466,himantura pareh
himantura tutul,835151,himantura tutul
