category,trait,sheet,trait_val_orig,acromycter perturbator,apterichtus kendalli,ariosoma selenops,asarcenchelys longimanus,bathycongrus retrotinctus,bathycongrus vicinalis,bathyuroconger vicinus,brachysomophis longipinnis,callechelys bitaeniata,chlopsis kazuko,cirripectes alleni,cirripectes filamentosus,coloconger japonicus,conger verreauxi,crossosalarias macrospilus,derichthys serpentinus,ecsenius trilineatus,enchelycore schismatorhynchus,entomacrodus macrospilus,entomacrodus stellifer,eptatretus cirrhatus,eptatretus mendozai,ethadophis akkistikos,ethadophis merenda,facciolella karreri,gorgasia maculata,heteroconger klausewitzi,heteroconger taylori,hoplunnis schmidti,hypleurochilus bananensis,hypsoblennius striatus,kaupichthys brachychirus,monopenchelys acuta,moringua edwardsi,nessorhamphus danae,omobranchus anolius,omobranchus fasciolatus,omobranchus rotundiceps,ophichthus altipennis,ophichthus melanoporus,parablennius parvicornis,parablennius yatabei,parablennius zvonimiri,parenchelyurus hepburni,praealticus dayi,rhinomuraena quaesita,salarias ceramensis,salarias sinuosus,saurenchelys fierasfer,saurenchelys meteori,serrivomer lanceolatoides,simenchelys parasitica,skythrenchelys zabra,synaphobranchus affinis,synaphobranchus kaupii,synaphobranchus oregoni,thalassenchelys foliaceus (aka congriscus maldivensis),uropterygius fuscoguttatus,uropterygius wheeleri,venefica tentaculata,xenomystax trucidans,xestochilus nebulosus
specialisation,within-stage dependent habitats,fish_Beth,"Rocky intertidal, subtidal hard bottom, rocky reef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rocky intertidal;subtidal hard bottom;rocky reef,NA,NA,NA,NA,NA,NA,NA,rocky intertidal;subtidal hard bottom;rocky reef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rocky intertidal;subtidal hard bottom;rocky reef,NA,NA,NA,NA,rocky intertidal;subtidal hard bottom;rocky reef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,within-stage dependent habitats,fish_Beth,"Rocky intertidal, subtidal hard bottom, rocky reef, coral reef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rocky intertidal;subtidal hard bottom;rocky reef;coral reef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,within-stage dependent habitats,fish_Beth,Soft Shelf,NA,NA,NA,NA,NA,NA,NA,NA,NA,soft shelf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,within-stage dependent habitats,fish_Beth,"Soft shelf, soft slope",NA,NA,soft shelf;soft slope,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,within-stage dependent habitats,fish_Beth,Soft slope,soft slope,NA,NA,NA,soft slope,soft slope,soft slope,NA,NA,NA,NA,NA,soft slope,NA,NA,NA,NA,NA,NA,NA,NA,soft slope,NA,NA,soft slope,NA,NA,NA,soft slope,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soft slope,NA,NA,NA,NA,NA,NA,NA,NA,soft slope,soft slope,soft slope,NA,NA,NA,NA,NA,NA,NA,NA,soft slope,soft slope,NA
specialisation,within-stage dependent habitats,fish_Beth,"Soft slope, hard slope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soft slope;hard slope,NA,NA,NA,NA,NA,NA
specialisation,within-stage dependent habitats,fish_Beth,"Soft slope, Hard Slope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soft slope;hard slope,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,within-stage dependent habitats,fish_Beth,"Subtidal hard bottom, rocky reef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subtidal hard bottom;rocky reef,NA,NA,NA,subtidal hard bottom;rocky reef,NA,subtidal hard bottom;rocky reef,subtidal hard bottom;rocky reef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,within-stage dependent habitats,fish_Beth,"Subtidal hard bottom, rocky reef, coral reef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subtidal hard bottom;rocky reef;coral reef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,within-stage dependent habitats,fish_Beth,Subtidal soft bottom,NA,NA,NA,NA,NA,NA,NA,subtidal soft bottom,subtidal soft bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subtidal soft bottom,NA,NA,subtidal soft bottom,subtidal soft bottom,subtidal soft bottom,NA,NA,NA,NA,NA,subtidal soft bottom,NA,NA,NA,NA,subtidal soft bottom,NA,NA,NA,NA,NA,NA,subtidal soft bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subtidal soft bottom,NA,NA,NA,subtidal soft bottom
specialisation,within-stage dependent habitats,fish_Beth,"Subtidal soft bottom, coral reef, rocky reef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subtidal soft bottom;coral reef;rocky reef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,within-stage dependent habitats,fish_Beth,"Subtidal soft bottom, soft shelf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subtidal soft bottom;soft shelf,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,within-stage dependent habitats,fish_Beth,"Subtidal soft bottom, soft shelf, soft slope",NA,subtidal soft bottom;soft shelf;soft slope,NA,subtidal soft bottom;soft shelf;soft slope,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,within-stage dependent habitats,fish_Beth,"Subtidal soft bottom, Subtidal hard bottom, rocky reef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subtidal soft bottom;subtidal hard bottom;rocky reef,NA,NA,NA
specialisation,within-stage dependent habitats,fish_Beth,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
