category,trait,sheet,trait_val_orig,acesta excavata,adamussium colbecki,aeolidia papillosa,anadara trapezia,aplysia californica,aplysia vaccaria,arcidae,argopecten irradians,austrocochlea porcata,bankia setacea,cadlina luteomarginata,calliostoma ligatum,cellana tramoserica,cerastoderma edule,crassostrea/magallana gigas,crassotrea virginica,haliotis coccoradiata,haliotis kamschatkana,haliotis rubra,magallana hongkongensis,mercenaria mercenaria,mimachlamys asperrima,mytilus californiensis,mytilus edulis,mytilus galloprovincialis,mytilus trossolus,ostrea angasi,ostrea edulis,ostrea lurida,panopea generosa,pecten fumatus,pecten maximus,pinctada fucata,pinctada maxima,pinna bicolor,plebidonax deltoides,saccostrea glomerata,siliqua patula,subninella undulata,tectura scutum,tegula funebralis,tenguella marginalba,tridacna gigas,tridacna maxima,trochus niloticus,trychomya hirsuta,turbo militaris
r (reproductive traits),reproductive strategy,molluscs,sexual hermaphrodite,NA,NA,sexual hermaphrodite,NA,sexual hermaphrodite,sexual hermaphrodite,NA,NA,NA,NA,sexual hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r (reproductive traits),reproductive strategy,molluscs,Sexual hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sexual hermaphrodite,NA,NA,NA,NA
r (reproductive traits),reproductive strategy,molluscs,Sexual hermaphrodite (protandric),NA,sexual hermaphrodite (protandric),NA,sexual hermaphrodite (protandric),NA,NA,sexual hermaphrodite (protandric),sexual hermaphrodite (protandric),NA,NA,NA,NA,NA,sexual hermaphrodite (protandric),sexual hermaphrodite (protandric),sexual hermaphrodite (protandric),NA,NA,NA,sexual hermaphrodite (protandric),sexual hermaphrodite (protandric),sexual hermaphrodite (protandric),sexual hermaphrodite (protandric),sexual hermaphrodite (protandric),sexual hermaphrodite (protandric),sexual hermaphrodite (protandric),sexual hermaphrodite (protandric),sexual hermaphrodite (protandric),sexual hermaphrodite (protandric),NA,sexual hermaphrodite (protandric),sexual hermaphrodite (protandric),sexual hermaphrodite (protandric),sexual hermaphrodite (protandric),NA,NA,sexual hermaphrodite (protandric),NA,NA,NA,NA,NA,NA,sexual hermaphrodite (protandric),NA,sexual hermaphrodite (protandric),NA
r (reproductive traits),reproductive strategy,molluscs,Sexual hermaphrodite (suspected protandric),sexual hermaphrodite (suspected protandric),NA,NA,NA,NA,NA,NA,NA,NA,sexual hermaphrodite (suspected protandric),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sexual hermaphrodite (suspected protandric),NA,NA,NA,NA,sexual hermaphrodite (suspected protandric),sexual hermaphrodite (suspected protandric),NA,sexual hermaphrodite (suspected protandric),NA,NA,NA,NA,NA,NA,NA,NA,NA
spatial scale of species,depth (min/max),molluscs,epipelagic,NA,NA,epipelagic,NA,epipelagic,epipelagic,NA,NA,NA,NA,epipelagic,epipelagic,NA,NA,NA,NA,NA,epipelagic,epipelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,epipelagic,epipelagic,NA,NA,NA,epipelagic,NA,epipelagic
spatial scale of species,depth (min/max),molluscs,Epipelagic,NA,epipelagic,NA,epipelagic,NA,NA,epipelagic,epipelagic,NA,epipelagic,NA,NA,NA,epipelagic,epipelagic,epipelagic,NA,NA,NA,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,NA,NA,NA,NA,epipelagic,epipelagic,NA,epipelagic,NA
spatial scale of species,eoo (range),molluscs,>20 000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000
spatial scale of species,zone,molluscs,benthic,benthic,benthic,NA,benthic,NA,NA,benthic,benthic,NA,benthic,NA,NA,NA,benthic,NA,NA,NA,NA,NA,NA,benthic,benthic,NA,NA,NA,NA,NA,NA,NA,benthic,benthic,benthic,benthic,benthic,benthic,benthic,NA,benthic,NA,NA,NA,NA,benthic,benthic,NA,NA,NA
spatial scale of species,zone,molluscs,Benthic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,benthic,NA,NA
spatial scale of species,zone,molluscs,Intertidal,NA,NA,intertidal,NA,intertidal,intertidal,NA,NA,intertidal,NA,intertidal,intertidal,intertidal,NA,intertidal,NA,intertidal,intertidal,intertidal,intertidal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,intertidal,NA,intertidal,intertidal,intertidal,intertidal,NA,NA,NA,NA,intertidal
spatial scale of species,zone,molluscs,Intertidal/benthic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,intertidal;benthic,NA,NA,NA,NA,NA,NA,intertidal;benthic,intertidal;benthic,intertidal;benthic,intertidal;benthic,intertidal;benthic,intertidal;benthic,intertidal;benthic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,intertidal;benthic,NA
specialisation,across-stage dependent habitats + condition,molluscs,Surface Water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water
specialisation,air-sea interface,molluscs,No,no,no,NA,no,NA,NA,no,no,NA,no,NA,NA,NA,no,no,no,NA,NA,NA,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NA,NA,NA,NA,no,no,NA,no,NA
specialisation,air-sea interface,molluscs,Yes,NA,NA,yes,NA,yes,yes,NA,NA,yes,NA,yes,yes,yes,NA,NA,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,yes,NA,yes
specialisation,dependent interspecific interactions,molluscs,No,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
specialisation,extreme diet specialization,molluscs,Generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist
specialisation,light dependence,molluscs,No,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
specialisation,terrestrial and marine life stages,molluscs,No,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
specialisation,within-stage dependent habitats + condition,molluscs,Benthic,benthic,benthic,NA,benthic,NA,NA,benthic,benthic,NA,NA,NA,NA,NA,benthic,NA,NA,NA,NA,NA,NA,benthic,benthic,NA,NA,NA,NA,benthic,NA,NA,NA,benthic,benthic,benthic,benthic,NA,NA,NA,NA,NA,NA,NA,NA,benthic,benthic,NA,NA,NA
specialisation,within-stage dependent habitats + condition,molluscs,Benthic/soft sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,benthic;soft sediment,NA,NA,NA,NA,benthic;soft sediment,benthic;soft sediment,NA,benthic;soft sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,within-stage dependent habitats + condition,molluscs,Benthic/submerged timber,NA,NA,NA,NA,NA,NA,NA,NA,NA,benthic;submerged timber,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,within-stage dependent habitats + condition,molluscs,Coral reef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,coral reef,NA,NA
specialisation,within-stage dependent habitats + condition,molluscs,Rock Intertidal/ Rocky Reef,NA,NA,rock intertidal;rocky reef,NA,rock intertidal;rocky reef,rock intertidal;rocky reef,NA,NA,rock intertidal;rocky reef,NA,rock intertidal;rocky reef,rock intertidal;rocky reef,rock intertidal;rocky reef,NA,rock intertidal;rocky reef,rock intertidal;rocky reef,rock intertidal;rocky reef,rock intertidal;rocky reef,rock intertidal;rocky reef,rock intertidal;rocky reef,NA,NA,rock intertidal;rocky reef,rock intertidal;rocky reef,rock intertidal;rocky reef,rock intertidal;rocky reef,NA,rock intertidal;rocky reef,rock intertidal;rocky reef,NA,NA,NA,NA,NA,NA,NA,rock intertidal;rocky reef,NA,rock intertidal;rocky reef,rock intertidal;rocky reef,rock intertidal;rocky reef,rock intertidal;rocky reef,NA,NA,NA,rock intertidal;rocky reef,rock intertidal;rocky reef
