category,trait,sheet,trait_val_orig,acanthochromis polyacanthus,acanthurus dusumieri,acromycter perturbator,amphiprion akindynos,anguilla australis,apterichtus kendalli,ariosoma selenops,asarcenchelys longimanus,balistoides viridescens,bathycongrus retrotinctus,bathycongrus vicinalis,bathypterois grallator,bathyuroconger vicinus,brachionichthys hirsutus,brachysomophis longipinnis,callechelys bitaeniata,carapus bermudensi,cephalopholis cyanostogmata,chaetodon auriga,chaetodon triangulum,chaetodon trifascialis,champsocephalus gunnari,chanos chanos,chlopsis kazuko,cirripectes alleni,cirripectes filamentosus,clupea harengus,coloconger japonicus,conger verreauxi,corphaena hippurus,crossosalarias macrospilus,ctenoscarus bicolor,derichthys serpentinus,dissostichus eleginoides,ecsenius trilineatus,encheliophis gracilis,enchelycore schismatorhynchus,engraulis ringens,entomacrodus macrospilus,entomacrodus stellifer,epinephelus itajara,epinephelus lanceolatus,eptatretus cirrhatus,eptatretus mendozai,ethadophis akkistikos,ethadophis merenda,eviota sigillata,exocoetus volitans,facciolella karreri,forsterygion varium,gadus mohua,galaxias brevipinnis,gobiodon citrinus,gobiodon histro,gorgasia maculata,gymnothorax javanicus,heteroconger klausewitzi,heteroconger taylori,hippocampus abdominalis,hippoglossus stenolepis,hoplostethus atlanticus,hoplunnis schmidti,hygophum proximum,hypleurochilus bananensis,hypsoblennius striatus,katsuwonus pelamis,kaupichthys brachychirus,lutjanus carponatatus,lutjanus sebae,meuschenia scaber,monopenchelys acuta,moringua edwardsi,naso vlamingi,nessorhamphus danae,notolabrus celidotus,omobranchus anolius,omobranchus fasciolatus,omobranchus rotundiceps,oncorhynchus nerka,ophichthus altipennis,ophichthus melanoporus,osterhinchus doederleini,parablennius parvicornis,parablennius yatabei,parablennius zvonimiri,parapercis colias,parenchelyurus hepburni,parma microlepis,phycoduras eques,plectropomus leopardus,pomacentrus coelestis,praealticus dayi,rexea solandri,rhinomuraena quaesita,salarias ceramensis,salarias fasciatus,salarias sinuosus,saurenchelys fierasfer,saurenchelys meteori,scarus schlegeri,sebastes diploproa,serrivomer lanceolatoides,simenchelys parasitica,skythrenchelys zabra,spratelloides delicatulus,synaphobranchus affinis,synaphobranchus kaupii,synaphobranchus oregoni,thalassenchelys foliaceus (aka congriscus maldivensis),thunnus maccoyii,uropterygius fuscoguttatus,uropterygius wheeleri,venefica tentaculata,xenomystax trucidans,xestochilus nebulosus
r (reproductive traits),age to 1st reproduction/generation time,reef_other_fish,1 to 5 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1to 5years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1to 5years,NA,NA,NA,NA,NA
r (reproductive traits),age to 1st reproduction/generation time,reef_other_fish,1 to 5 yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1to 5yrs,1to 5yrs,NA,NA,NA,NA,NA,NA,NA,1to 5yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r (reproductive traits),age to 1st reproduction/generation time,reef_other_fish,1- 5 yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-5yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-5yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r (reproductive traits),age to 1st reproduction/generation time,reef_other_fish,1-5 years,NA,NA,NA,NA,NA,1-5years,NA,1-5years,NA,NA,NA,NA,NA,NA,NA,1-5years,1-5years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-5years,1-5years,NA,NA,NA,NA,NA,NA,NA,1-5years,1-5years,NA,NA,1-5years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-5years,NA,NA,NA,NA,NA,NA,NA,NA,1-5years,NA,NA,NA,NA,NA,NA,NA,NA,1-5years,1-5years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-5years,NA,NA,NA,NA,NA,NA,NA,1-5years,1-5years,NA,NA,1-5years,1-5years,1-5years,1-5years,NA,1-5years,1-5years,NA,NA,1-5years
r (reproductive traits),age to 1st reproduction/generation time,reef_other_fish,10 to 20 yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10to 20yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r (reproductive traits),age to 1st reproduction/generation time,reef_other_fish,2 to 9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2to 9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r (reproductive traits),age to 1st reproduction/generation time,reef_other_fish,41:20-100,NA,4120-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4120-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r (reproductive traits),age to 1st reproduction/generation time,reef_other_fish,5 to 10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5to 10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5to 10,5to 10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r (reproductive traits),age to 1st reproduction/generation time,reef_other_fish,5-10 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5-10years,5-10years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r (reproductive traits),age to 1st reproduction/generation time,reef_other_fish,7: 10-20,NA,NA,NA,NA,710-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,710-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r (reproductive traits),age to 1st reproduction/generation time,reef_other_fish,70d: < 1 year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70d<1year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r (reproductive traits),age to 1st reproduction/generation time,reef_other_fish,8 to 10:5 to 10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8to 105to 10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r (reproductive traits),age to 1st reproduction/generation time,reef_other_fish,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r (reproductive traits),are there sub-populations?,reef_other_fish,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,NA,NA,NA,no,no,NA,NA,NA,no,NA,NA,NA,no,no,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,no,no,NA,NA,NA,NA,NA,NA,NA,no,no,NA,NA,no,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,NA,NA,NA,no,no,no,NA,no,NA,NA,NA,NA,no,NA,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA
r (reproductive traits),are there sub-populations?,reef_other_fish,unknown,NA,NA,unknown,NA,NA,unknown,unknown,unknown,NA,unknown,unknown,unknown,unknown,NA,unknown,unknown,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,unknown,unknown,NA,NA,NA,unknown,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA,unknown,unknown,NA,NA,unknown,NA,NA,NA,NA,NA,unknown,NA,unknown,unknown,NA,NA,NA,unknown,unknown,NA,NA,NA,unknown,NA,NA,NA,unknown,unknown,NA,unknown,NA,NA,NA,NA,NA,unknown,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,unknown,unknown,NA,NA,unknown,unknown,unknown,NA,unknown,unknown,unknown,unknown,NA,unknown,unknown,unknown,unknown,unknown
r (reproductive traits),are there sub-populations?,reef_other_fish,yes,yes,yes,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,yes,yes,yes,NA,NA,NA,yes,NA,NA,NA,NA,yes,NA,yes,NA,yes,NA,yes,NA,NA,yes,yes,NA,NA,NA,NA,yes,NA,NA,yes,NA,NA,yes,yes,NA,yes,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,NA,yes,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,yes,yes,yes,NA,yes,NA,NA,yes,NA,NA,NA,yes,yes,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r (reproductive traits),are there sub-populations?,reef_other_fish,yes /by river,NA,NA,NA,NA,yes;by river,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,reef_other_fish,no,NA,NA,no,NA,NA,no,no,no,NA,no,no,NA,no,NA,no,no,NA,no,NA,NA,NA,NA,NA,no,no,no,NA,no,no,NA,no,NA,no,NA,no,NA,no,NA,no,no,NA,NA,NA,NA,no,no,NA,NA,no,NA,NA,NA,NA,NA,no,NA,no,no,NA,NA,NA,no,NA,no,no,NA,no,NA,NA,NA,no,no,NA,no,NA,no,no,no,NA,no,no,NA,no,no,no,NA,no,NA,NA,NA,NA,no,NA,no,no,NA,no,no,no,NA,NA,no,no,no,NA,no,no,no,no,NA,no,no,no,no,no
r (reproductive traits),can the sex ratio be altered by a stressor?,reef_other_fish,probably,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,probably,probably,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,reef_other_fish,unknown,unknown,unknown,NA,NA,unknown,NA,NA,NA,unknown,NA,NA,unknown,NA,unknown,NA,NA,unknown,NA,unknown,unknown,unknown,unknown,unknown,NA,NA,NA,unknown,NA,NA,unknown,NA,unknown,NA,unknown,NA,unknown,NA,unknown,NA,NA,unknown,unknown,NA,NA,NA,NA,unknown,unknown,NA,unknown,unknown,unknown,unknown,unknown,NA,unknown,NA,NA,unknown,unknown,unknown,NA,unknown,NA,NA,unknown,NA,unknown,unknown,unknown,NA,NA,unknown,NA,unknown,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,unknown,NA,unknown,unknown,unknown,unknown,NA,unknown,NA,NA,unknown,NA,NA,NA,unknown,unknown,NA,NA,NA,unknown,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,reef_other_fish,yes - if female dies a male takes over and becomes female,NA,NA,NA,yes-if female dies a male takes over and becomes female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r (reproductive traits),fecundity,reef_other_fish,">10,000",NA,NA,>10000,>10000,>10000,>10000,>10000,>10000,NA,>10000,>10000,>10000,>10000,NA,>10000,>10000,NA,>10000,NA,NA,NA,>10000,>10000,>10000,NA,NA,>10000,>10000,>10000,>10000,NA,NA,>10000,>10000,NA,NA,>10000,NA,NA,NA,>10000,>10000,NA,NA,>10000,>10000,NA,>10000,>10000,NA,NA,NA,NA,NA,>10000,>10000,>10000,>10000,NA,NA,>10000,>10000,NA,NA,NA,>10000,>10000,>10000,>10000,>10000,>10000,>10000,NA,>10000,NA,NA,NA,NA,>10000,>10000,>10000,NA,NA,NA,NA,NA,NA,>10000,NA,>10000,>10000,NA,>10000,>10000,NA,NA,NA,>10000,>10000,NA,NA,>10000,NA,>10000,NA,NA,NA,NA,>10000,>10000,>10000,>10000,>10000,>10000,>10000
r (reproductive traits),fecundity,reef_other_fish,">10,000 to 9M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>10000to 9m,NA,NA,NA,NA,NA,NA,NA,NA,>10000to 9m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r (reproductive traits),fecundity,reef_other_fish,100 to 1000,100to 1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100to 1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100to 1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r (reproductive traits),fecundity,reef_other_fish,100-1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100-1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100-1000,100-1000,NA,NA,NA,NA,100-1000,NA,NA,NA,100-1000,NA,NA,NA,100-1000,100-1000,NA,NA,NA,NA,NA,NA,100-1000,NA,NA,100-1000,NA,NA,100-1000,100-1000,NA,NA,NA,NA,100-1000,NA,NA,NA,NA,100-1000,100-1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100-1000,100-1000,100-1000,NA,NA,NA,100-1000,100-1000,100-1000,100-1000,NA,100-1000,NA,100-1000,NA,NA,100-1000,NA,NA,100-1000,100-1000,100-1000,NA,NA,NA,NA,NA,NA,NA,100-1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r (reproductive traits),fecundity,reef_other_fish,"1000-10,000",NA,1000-10000,NA,NA,NA,NA,NA,NA,1000-10000,NA,NA,NA,NA,NA,NA,NA,1000-10000,NA,1000-10000,1000-10000,1000-10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000-10000,NA,NA,NA,1000-10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000-10000,NA,1000-10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000-10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000-10000,1000-10000,NA,1000-10000,NA,NA,1000-10000,1000-10000,1000-10000,NA,NA,NA,NA,NA,NA,NA
r (reproductive traits),fecundity,reef_other_fish,20-50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20-50,20-50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r (reproductive traits),fecundity,reef_other_fish,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r (reproductive traits),feeding larva (post-hatching metamorphosis),reef_other_fish,feeding,NA,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,NA,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,NA,NA,feeding,feeding,feeding,feeding,feeding,NA,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,NA,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,NA,feeding,feeding,feeding,feeding,feeding,feeding,NA,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding
r (reproductive traits),feeding larva (post-hatching metamorphosis),reef_other_fish,hatch as small feeding juveniles,hatch as small feeding juveniles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r (reproductive traits),feeding larva (post-hatching metamorphosis),reef_other_fish,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,NA,NA,NA,NA,NA,na,NA,NA,NA,NA,NA,NA,NA,NA,na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,NA,NA,NA,NA,NA,NA,na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r (reproductive traits),feeding larva (post-hatching metamorphosis),reef_other_fish,no larvae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no larvae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
