category,trait,arctocephalus,balaena mysticetus,balaenoptera acutorostrata,balaenoptera bonaerensis,balaenoptera borealis,balaenoptera brydei,balaenoptera edeni,balaenoptera musculus,balaenoptera physalus,berardius bairdii,callorhinus,caperea marginata,cephalorhynchus hectori,delphinapterus leucas,delphinus,dugong dugon,enhydra lutris,eschrichtius robustus,eubalaena australis,eubalaena glacialis,eubalaena japonica,eumetopias,feresa attenuata,globicephala,grampus griseus,hyperoodon ampullatus,indopacetus pacificus,kogia,kogia breviceps,lagenodelphis hosei,lagenorhynchus,lagenorhynchus acutus,lissodelphis borealis,megaptera novaeangliae,mesoplodon bidens,mesoplodon densirostris,mesoplodon europaeus,mesoplodon mirus,mesoplodon stejnegeri,monodon monoceros,neophoca,odobenus rosmarus,orcinus orca,otaria,peponocephala electra,phocarctos,phocidae,phocoena sinus,physeter macrocephalus,pseudorca crassidens,sousa chinensis taiwanensis,stenella,stenella clymene,stenella frontalis,steno bredanensis,trichechus manatus,trichechus senegalensis,tursiops truncatus,ursus maritimus,zalophus,ziphius cavirostris
r (reproductive traits),age to 1st reproduction/generation time,1-5yrs,10-20yrs,5-10yrs,5-10yrs,>20yrs,10-20yrs,10-20yrs,1-5yrs,5-10yrs,5-10yrs;10-20yrs,1-5yrs,NA,5-10yrs,5-10yrs,10-20yrs,5-10yrs,1-5yrs,>20yrs,5-10yrs,5-10yrs,10-20yrs,1-5yrs,NA,5-10yrs,5-10yrs,5-10yrs,NA,10-20yrs,1-5yrs,5-10yrs,5-10yrs,5-10yrs,5-10yrs,1-5yrs,5-10yrs,5-10yrs,5-10yrs,NA,NA,5-10yrs,1-5yrs,5-10yrs,10-20yrs,1-5yrs,5-10yrs,1-5yrs,1-5yrs,1-5yrs,5-10yrs,5-10yrs,5-10yrs,5-10yrs;10-20yrs,1-5yrs;5-10yrs,5-10yrs,5-10yrs,1-5yrs,1-5yrs,5-10yrs,1-5yrs,1-5yrs,10-20yrs
r (reproductive traits),are there sub-populations?,yes,yes,yes,data deficient,yes,yes,yes,yes,yes,yes,yes,unknown,yes-new zealand and maui,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,unknown,unknown,unknown,NA,yes,yes,yes,yes,unknown,yes,yes,yes,data deficient,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
r (reproductive traits),can the sex ratio be altered by a stressor?,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,no,maybe pollution driving breeding female mortality,NA,NA,NA,NA,no,no,no,no,NA,NA,NA,NA,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,no,NA,NA,no,no,no,NA,NA,no,no,no,NA,yes-sex-selective hunting,no,NA
r (reproductive traits),fecundity,<1,<1,<1,NA,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,1-2,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,1-2,<1,<1,1-2,<1,<1,<1,<1,<1,NA,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
r (reproductive traits),feeding larva (post-hatching metamorphosis),no larva,na,na,na,na,na,na,na,na,na,no larva,na,no larva,na,no larvae,not larvae,na,na,na,na,na,no larva,not larvae,not larvae,no larvae,na,na,na,na,na,no larvae,na,no larve,na,na,na,na,na,na,na,no larva,no larva,not larvae,no larva,not larvae,no larva,no larva,na,na,no larvae,no larvae,no larvae,na,na,no larvae,not larvae,not larvae,na,na,no larva,na
r (reproductive traits),global population size,10k-100k;100k-1m;>1m,10k-100k,100k-1m,100k-1m,10k-100k,NA,NA,10k-100k,10k-100k,NA,10k-100k;100k-1m;>1m,NA,1k-10k,100k-1m,>1m,10k-100k,100k-1m;>1m,10k-100k,10k-100k,1k-10k,1k-10k,10k-100k,10k-100k,100k-1m,100k-1m,10k-100k,1k-10k,NA,NA,100k-1m,NA,100k-1m,100k-1m,10k-100k,NA,NA,NA,NA,NA,100k-1m,10k-100k,100k-1m,10k-100k,10k-100k,10k-100k,10k-100k,100k-1m,1k-10k,100k-1m,1k-10k,100k-1m,>1m,NA,NA,100k-1m,10k-100k,10k-100k,100k-1m,10k-100k,10k-100k,100k-1m
r (reproductive traits),lifetime # reproductive opportunities,11-25,26-50,11-25,11-25,11-25,11-25,11-25,26-50,26-50,11-25,11-25,NA,2-10,2-10,11-25,11-25,11-25,11-25,11-25,2-10,11-25,11-25,NA,11-25;2-10,11-25,2-10,NA,2-10,2-10,2-10,11-25,2-10,11-25,26-50,NA,2-10,NA,NA,NA,11-25,11-25,26-50,2-10,11-25,11-25,11-25,11-25,2-10,11-25,2-10,26-50,11-25;26-50,NA,NA,26-50,2-10,2-10,2-10,2-10,11-25,2-10
r (reproductive traits),max age,20-100yrs,>100yrs,20-100yrs,20-100yrs,20-100yrs,20-100yrs,20-100yrs,>100yrs,>100yrs,20-100yrs,20-100yrs,NA,10-20yrs,20-100yrs,20-100yrs,20-100yrs,10-20yrs,20-100yrs,20-100yrs,20-100yrs,20-100yrs,20-100yrs,20-100yrs,20-100yrs,20-100yrs,20-100yrs,NA,20-100yrs,20-100yrs,10-20yrs,20-100yrs,20-100yrs,20-100yrs,20-100yrs,20-100yrs,20-100yrs,20-100yrs,NA,20-100yrs,20-100yrs,20-100yrs,20-100yrs,20-100yrs,20-100yrs,20-100yrs,20-100yrs,20-100yrs,20-100yrs,20-100yrs,20-100yrs,20-100yrs,20-100yrs;>100yrs,NA,NA,20-100yrs,20-100yrs,20-100yrs,20-100yrs,20-100yrs,20-100yrs,20-100yrs
r (reproductive traits),parental investment,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care
r (reproductive traits),post-birth/hatching parental dependence,month-year,>year,month-year,month-year,month-year,month-year,month-year,month-year,month-year,NA,month-year,month-year,>year,NA,>year,>year,>year,month-year,month-year,8-17months,little known;but estimated to be long;month-year,month-year-exception that some australian sea lions can care for pup up to 3years,unknown,>year,>year,month-year,unkown,month-year,month-year,NA,>year,>year,>year,month-year,unknown,some nursing;but little parental investment,unknown,unknown,unknown,>year,month-year-exception that some australian sea lions can care for pup up to 3years,>year,>year,month-year-exception that some australian sea lions can care for pup up to 3years,>year,month-year-exception that some australian sea lions can care for pup up to 3years,month-year,month-year,>year,>year,>year,>year,unknown,>year,month-year,>year,>year,>year,>year,month-year-exception that some australian sea lions can care for pup up to 3years,unknown
r (reproductive traits),reproductive strategy,sexual dioecious,sexual dioeciuos,sexual dioeciuos,<1per;year,sexual dioeciuos,sexual dioecious,sexual dioeciuos,sexual dioeciuos,sexual dioeciuos,sexual dioeciuos,sexual dioecious,sexual dioeciuos,sexual dioecious,sexual dioeciuos,sexual dioecious,sexual dioecious,sexual dioeciuos,sexual dioeciuos,sexual dioeciuos,sexual dioeciuos,sexual dioeciuos,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioeciuos,sexual dioeciuos,sexual dioeciuos,sexual dioeciuos,sexual dioeciuos,sexual dioecious,sexual dioeciuos,sexual dioecious,sexual dioecious,sexual dioeciuos,sexual dioeciuos,sexual dioeciuos,sexual dioeciuos,sexual dioeciuos,sexual dioeciuos,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioeciuos,sexual dioeciuos,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioeciuos,sexual dioeciuos,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioeciuos,sexual dioeciuos,sexual dioecious,sexual dioeciuos
spatial scale of species,depth (min/max),NA,epipelagic,NA,mesopelagic,mesopelagic,mesopelagic,mesopelagic,epipelagic;mesopelagic,epipelagic;bathypelagic,bathypelagic,NA,epipelagic,NA,epipelagic;mesopelagic,NA,NA,NA,epipelagic,epipelagic,epipelagic,epipelagic,NA,NA,NA,NA,bathypelagic,abyssopelagic,mesopelagic,mesopelagic,mesopelagic,NA,epipelagic;mesopelagic,NA,epipelagic,mesopelagic,mesopelagic,mesopelagic,NA,mesopelagic;bathypelagic,mesopelagic;bathypelagic,NA,NA,NA,NA,NA,NA,NA,epipelagic,mesopelagic;bathypelagic,NA,NA,NA,mesopelagic;abyssopelagic,epipelagic,NA,NA,NA,epipelagic,NA,NA,bathypelagic
spatial scale of species,eoo (range),<99km2,arctic and subarctic regions,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,<99km2,>20000,<99km2,>20000,<99km2,<99km2,>20000,>20000,>20000,>20000,unknown,<99km2,<99km2,<99km2,<99km2,38n to 72n,>20000,>20000,>20000,>20000,<99km2,>20000,<99km2,>20000,>20000,>20000,NA,>20000,>20000,>20000,<99km2,<99km2,<99km2,<99km2,<99km2,<99km2,<99km2,100-4999,>20000,<99km2,<99km2,<99km2,>20000,>20000,<99km2,<99km2,<99km2,>20000,>20000,<99km2,>20000
spatial scale of species,zone,pelagic;intertidal,oceanic;neritic,NA,pelagic,pelagic,pelagic,pelagic,neritic;pelagic,pelagic,oceanic,pelagic;intertidal,pelagic;neritic,pelagic,pelagic;benthic,pelagic,pelagic,neritic,benthic;neritic,NA,neritic,pelagic,pelagic;intertidal,pelagic,pelagic,pelagic,pelagic,pelagic,pelagic,benthic,pelagic;oceanic,pelagic,pelagic,pelagic,pelagic;neritic,pelagic,pelagic,pelagic,oceanic,pelagic,pelagic,pelagic;intertidal,pelagic;intertidal,pelagic,pelagic;intertidal,pelagic,pelagic;intertidal,pelagic;intertidal,neritic;pelagic,benthic,pelagic,pelagic,pelagic,pelagic,neritic;oceanic,pelagic,pelagic,pelagic,pelagic;oceanic,neritic,pelagic;intertidal,benthic
specialisation,across-stage dependent habitats + condition,surface water;continental shelf;rocky intertidal;sea ice edge,surface water;estuary,surface water;coastal;fjords,ice edge;coastal;surface water,surface water,deep water;surface water;coastal,surface water;deep water;coastal,surface water,deep water;surface water;continental shelf;coastal,surface water;deep water;coastal,surface water;continental shelf;rocky intertidal;sea ice edge,surface water;coastal-continental shelf,surface water;coastal,surface water;deep water;sea ice;estuary;fjords,surface water;continental shelf,bays;coastal;mangrove channels;continental shelf;rocky reef,surface water;deep water,surface water;soft bottom;soft shelf,surface water;coastal,surface water;coastal,deep water;surface water;continental shelf;coastal,surface water;continental shelf;rocky intertidal,deep water;surface water,surface water;continental shelves,deep water;surface water;soft slop;continental shelf,surface water;deep water,surface water;deep water,deep water;surface water;continental shelf,surface water;deep water,surface water;deep water,deep water;surface water;coastal,surface water;continental shelf,deep water;surface water;coastal,deep water;surface water;coastal,surface water;deep water,surface water;deep water,surface water,surface water;deep water,surface water;deep water,surface water;deep water;sea ice;estuary;fjords,surface water;continental shelf;rocky intertidal,surface water;continental shelf;rocky intertidal;sea ice edge,surface water;sea ice edge,surface water;continental shelf;rocky intertidal,surface water;continental shelves,surface water;continental shelf;rocky intertidal,surface water;continental shelf;rocky intertidal;sea ice edge,surface water,deep water;surface water,deep water;surface water,surface water;near bays;estuariaries;mangrove;rocky reef;coral reef;large river mouths--some of these habitats are not included in the habitat list you gave me,surface water,surface water;deep water,surface water;coastal;continental shelf,deep water;surface water,shallow coastal areas;rivers;esturaries;and canals,shallow coastal waters and freshwater rivers,surface water;coastal;estuary,sea ice edge;surface water,surface water;continental shelf;rocky intertidal,surface water;deep water
specialisation,air-sea interface,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
specialisation,dependent interspecific interactions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,no,no,NA,NA,NA,NA,no,no,no,no,NA,NA,NA,NA,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,no,one,NA,no,no,no,NA,NA,no,no,no,NA,no,no,NA
specialisation,extreme diet specialization,generalist,filter feed and eat zooplankton;epibenthic;benthic organisms,NA,generalist,generalist,generalist,generalist,specialist,generalist,specialist,generalist,specialist,generalist,generalist,generalist,specialist-seagrass,no,generalist,specialist,specialist,specialist,generalist,generalist,generalist,generalist,specialist,specialist,specialist,specialist,generalist,generalist,generalist,generalist,generalist,NA,specialist,specialist,specialist,specialist,specialist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,specialist,generalist,generalist,generalist,generalist,generalist,generalist,specialist-sea grass,specialist-vegetation,generalist,no,generalist,NA
specialisation,light dependence,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,no,no,NA,NA,NA,NA,no,no,no,no,NA,NA,NA,NA,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,no,NA,NA,no,no,no,NA,NA,no,no,no,NA,no,no,NA
