iucn_sid,name,rank,id
48342093,Vertebrata,clade,7742
48342093,Gnathostomata,clade,7776
48342093,Teleostomi,clade,117570
48342093,Euteleostomi,clade,117571
48342093,Actinopterygii,superclass,7898
48342093,Actinopteri,class,186623
48342093,Neopterygii,subclass,41665
48342093,Teleostei,infraclass,32443
48342093,Osteoglossocephalai,clade,1489341
48342093,Clupeocephala,no rank,186625
48342093,Euteleosteomorpha,cohort,1489388
48342093,Neoteleostei,clade,123365
48342093,Eurypterygia,clade,123366
48342093,Ctenosquamata,clade,123367
48342093,Acanthomorphata,clade,123368
48342093,Euacanthomorphacea,clade,123369
48342093,Percomorphaceae,clade,1489872
48342093,Ovalentaria,clade,1489908
48342093,Blenniimorphae,clade,1489920
48342093,Blenniiformes,order,1489921
48342093,Blennioidei,suborder,56717
48342093,Blenniidae,family,56718
48342093,Blenniinae,subfamily,703914
48342093,Meiacanthus,genus,152544
48342093,Meiacanthus atrodorsalis,species,1405650
48342099,cellular organisms,no rank,131567
48342099,Eukaryota,superkingdom,2759
48342099,Opisthokonta,clade,33154
48342099,Metazoa,kingdom,33208
48342099,Eumetazoa,clade,6072
48342099,Bilateria,clade,33213
48342099,Deuterostomia,clade,33511
48342099,Chordata,phylum,7711
48342099,Craniata,subphylum,89593
48342099,Vertebrata,clade,7742
48342099,Gnathostomata,clade,7776
48342099,Teleostomi,clade,117570
48342099,Euteleostomi,clade,117571
48342099,Actinopterygii,superclass,7898
48342099,Actinopteri,class,186623
48342099,Neopterygii,subclass,41665
48342099,Teleostei,infraclass,32443
48342099,Osteoglossocephalai,clade,1489341
48342099,Clupeocephala,no rank,186625
48342099,Euteleosteomorpha,cohort,1489388
48342099,Neoteleostei,clade,123365
48342099,Eurypterygia,clade,123366
48342099,Ctenosquamata,clade,123367
48342099,Acanthomorphata,clade,123368
48342099,Euacanthomorphacea,clade,123369
48342099,Percomorphaceae,clade,1489872
48342099,Ovalentaria,clade,1489908
48342099,Blenniimorphae,clade,1489920
48342099,Blenniiformes,order,1489921
48342099,Blennioidei,suborder,56717
48342099,Blenniidae,family,56718
48342099,Blenniinae,subfamily,703914
48342099,Meiacanthus,genus,152544
48342099,Meiacanthus tongaensis,species,2080999
48342104,cellular organisms,no rank,131567
48342104,Eukaryota,superkingdom,2759
48342104,Opisthokonta,clade,33154
48342104,Metazoa,kingdom,33208
48342104,Eumetazoa,clade,6072
48342104,Bilateria,clade,33213
48342104,Deuterostomia,clade,33511
48342104,Chordata,phylum,7711
48342104,Craniata,subphylum,89593
48342104,Vertebrata,clade,7742
48342104,Gnathostomata,clade,7776
48342104,Teleostomi,clade,117570
48342104,Euteleostomi,clade,117571
48342104,Actinopterygii,superclass,7898
48342104,Actinopteri,class,186623
48342104,Neopterygii,subclass,41665
48342104,Teleostei,infraclass,32443
48342104,Osteoglossocephalai,clade,1489341
48342104,Clupeocephala,no rank,186625
48342104,Euteleosteomorpha,cohort,1489388
48342104,Neoteleostei,clade,123365
48342104,Eurypterygia,clade,123366
48342104,Ctenosquamata,clade,123367
48342104,Acanthomorphata,clade,123368
48342104,Euacanthomorphacea,clade,123369
48342104,Percomorphaceae,clade,1489872
48342104,Ovalentaria,clade,1489908
48342104,Blenniimorphae,clade,1489920
48342104,Blenniiformes,order,1489921
48342104,Blennioidei,suborder,56717
48342104,Blenniidae,family,56718
48342104,Blenniinae,subfamily,703914
48342104,Meiacanthus,genus,152544
48342104,Meiacanthus abruptus,species,2080995
48342105,cellular organisms,no rank,131567
48342105,Eukaryota,superkingdom,2759
48342105,Opisthokonta,clade,33154
48342105,Metazoa,kingdom,33208
48342105,Eumetazoa,clade,6072
48342105,Bilateria,clade,33213
48342105,Deuterostomia,clade,33511
48342105,Chordata,phylum,7711
48342105,Craniata,subphylum,89593
48342105,Vertebrata,clade,7742
48342105,Gnathostomata,clade,7776
48342105,Teleostomi,clade,117570
48342105,Euteleostomi,clade,117571
48342105,Actinopterygii,superclass,7898
48342105,Actinopteri,class,186623
48342105,Neopterygii,subclass,41665
48342105,Teleostei,infraclass,32443
48342105,Osteoglossocephalai,clade,1489341
48342105,Clupeocephala,no rank,186625
48342105,Euteleosteomorpha,cohort,1489388
48342105,Neoteleostei,clade,123365
48342105,Eurypterygia,clade,123366
48342105,Ctenosquamata,clade,123367
48342105,Acanthomorphata,clade,123368
48342105,Euacanthomorphacea,clade,123369
48342105,Percomorphaceae,clade,1489872
48342105,Ovalentaria,clade,1489908
48342105,Blenniimorphae,clade,1489920
48342105,Blenniiformes,order,1489921
48342105,Blennioidei,suborder,56717
48342105,Blenniidae,family,56718
48342105,Salariinae,subfamily,703913
48342105,Cirripectes,genus,703910
48342105,Cirripectes auritus,species,1414472
48342109,cellular organisms,no rank,131567
48342109,Eukaryota,superkingdom,2759
48342109,Opisthokonta,clade,33154
48342109,Metazoa,kingdom,33208
48342109,Eumetazoa,clade,6072
48342109,Bilateria,clade,33213
48342109,Deuterostomia,clade,33511
48342109,Chordata,phylum,7711
48342109,Craniata,subphylum,89593
48342109,Vertebrata,clade,7742
48342109,Gnathostomata,clade,7776
48342109,Teleostomi,clade,117570
48342109,Euteleostomi,clade,117571
48342109,Actinopterygii,superclass,7898
48342109,Actinopteri,class,186623
48342109,Neopterygii,subclass,41665
48342109,Teleostei,infraclass,32443
48342109,Osteoglossocephalai,clade,1489341
48342109,Clupeocephala,no rank,186625
48342109,Euteleosteomorpha,cohort,1489388
48342109,Neoteleostei,clade,123365
48342109,Eurypterygia,clade,123366
48342109,Ctenosquamata,clade,123367
48342109,Acanthomorphata,clade,123368
48342109,Euacanthomorphacea,clade,123369
48342109,Percomorphaceae,clade,1489872
48342109,Ovalentaria,clade,1489908
48342109,Blenniimorphae,clade,1489920
48342109,Blenniiformes,order,1489921
48342109,Blennioidei,suborder,56717
48342109,Blenniidae,family,56718
48342109,Salariinae,subfamily,703913
48342109,Parablennius,genus,57842
48342109,Parablennius cornutus,species,990617
48342111,cellular organisms,no rank,131567
48342111,Eukaryota,superkingdom,2759
48342111,Opisthokonta,clade,33154
48342111,Metazoa,kingdom,33208
48342111,Eumetazoa,clade,6072
48342111,Bilateria,clade,33213
48342111,Deuterostomia,clade,33511
48342111,Chordata,phylum,7711
48342111,Craniata,subphylum,89593
48342111,Vertebrata,clade,7742
48342111,Gnathostomata,clade,7776
48342111,Teleostomi,clade,117570
48342111,Euteleostomi,clade,117571
48342111,Actinopterygii,superclass,7898
48342111,Actinopteri,class,186623
48342111,Neopterygii,subclass,41665
48342111,Teleostei,infraclass,32443
48342111,Osteoglossocephalai,clade,1489341
48342111,Clupeocephala,no rank,186625
48342111,Euteleosteomorpha,cohort,1489388
48342111,Neoteleostei,clade,123365
48342111,Eurypterygia,clade,123366
48342111,Ctenosquamata,clade,123367
48342111,Acanthomorphata,clade,123368
48342111,Euacanthomorphacea,clade,123369
48342111,Percomorphaceae,clade,1489872
48342111,Ovalentaria,clade,1489908
48342111,Blenniimorphae,clade,1489920
48342111,Blenniiformes,order,1489921
48342111,Blennioidei,suborder,56717
48342111,Blenniidae,family,56718
48342111,Salariinae,subfamily,703913
48342111,Salarias,genus,94311
48342111,Salarias fasciatus,species,181472
48342115,cellular organisms,no rank,131567
48342115,Eukaryota,superkingdom,2759
48342115,Opisthokonta,clade,33154
48342115,Metazoa,kingdom,33208
48342115,Eumetazoa,clade,6072
48342115,Bilateria,clade,33213
48342115,Deuterostomia,clade,33511
48342115,Chordata,phylum,7711
48342115,Craniata,subphylum,89593
48342115,Vertebrata,clade,7742
48342115,Gnathostomata,clade,7776
48342115,Teleostomi,clade,117570
48342115,Euteleostomi,clade,117571
48342115,Actinopterygii,superclass,7898
48342115,Actinopteri,class,186623
48342115,Neopterygii,subclass,41665
48342115,Teleostei,infraclass,32443
48342115,Osteoglossocephalai,clade,1489341
48342115,Clupeocephala,no rank,186625
48342115,Euteleosteomorpha,cohort,1489388
48342115,Neoteleostei,clade,123365
48342115,Eurypterygia,clade,123366
48342115,Ctenosquamata,clade,123367
48342115,Acanthomorphata,clade,123368
48342115,Euacanthomorphacea,clade,123369
48342115,Percomorphaceae,clade,1489872
48342115,Ovalentaria,clade,1489908
48342115,Blenniimorphae,clade,1489920
48342115,Blenniiformes,order,1489921
48342115,Blennioidei,suborder,56717
48342115,Blenniidae,family,56718
48342115,Salariinae,subfamily,703913
48342115,Blenniella,genus,879711
48342115,Blenniella chrysospilos,species,879712
48342117,cellular organisms,no rank,131567
48342117,Eukaryota,superkingdom,2759
48342117,Opisthokonta,clade,33154
48342117,Metazoa,kingdom,33208
48342117,Eumetazoa,clade,6072
48342117,Bilateria,clade,33213
48342117,Deuterostomia,clade,33511
48342117,Chordata,phylum,7711
48342117,Craniata,subphylum,89593
48342117,Vertebrata,clade,7742
48342117,Gnathostomata,clade,7776
48342117,Teleostomi,clade,117570
48342117,Euteleostomi,clade,117571
48342117,Actinopterygii,superclass,7898
48342117,Actinopteri,class,186623
48342117,Neopterygii,subclass,41665
48342117,Teleostei,infraclass,32443
48342117,Osteoglossocephalai,clade,1489341
48342117,Clupeocephala,no rank,186625
48342117,Euteleosteomorpha,cohort,1489388
48342117,Neoteleostei,clade,123365
48342117,Eurypterygia,clade,123366
48342117,Ctenosquamata,clade,123367
48342117,Acanthomorphata,clade,123368
48342117,Euacanthomorphacea,clade,123369
48342117,Percomorphaceae,clade,1489872
48342117,Ovalentaria,clade,1489908
48342117,Blenniimorphae,clade,1489920
48342117,Blenniiformes,order,1489921
48342117,Blennioidei,suborder,56717
48342117,Blenniidae,family,56718
48342117,Salariinae,subfamily,703913
48342117,Cirripectes,genus,703910
48342117,Cirripectes fuscoguttatus,species,1156099
48342119,cellular organisms,no rank,131567
48342119,Eukaryota,superkingdom,2759
48342119,Opisthokonta,clade,33154
48342119,Metazoa,kingdom,33208
48342119,Eumetazoa,clade,6072
48342119,Bilateria,clade,33213
48342119,Deuterostomia,clade,33511
48342119,Chordata,phylum,7711
48342119,Craniata,subphylum,89593
48342119,Vertebrata,clade,7742
48342119,Gnathostomata,clade,7776
48342119,Teleostomi,clade,117570
48342119,Euteleostomi,clade,117571
48342119,Actinopterygii,superclass,7898
48342119,Actinopteri,class,186623
48342119,Neopterygii,subclass,41665
48342119,Teleostei,infraclass,32443
48342119,Osteoglossocephalai,clade,1489341
48342119,Clupeocephala,no rank,186625
48342119,Euteleosteomorpha,cohort,1489388
48342119,Neoteleostei,clade,123365
48342119,Eurypterygia,clade,123366
48342119,Ctenosquamata,clade,123367
48342119,Acanthomorphata,clade,123368
48342119,Euacanthomorphacea,clade,123369
48342119,Percomorphaceae,clade,1489872
48342119,Ovalentaria,clade,1489908
48342119,Blenniimorphae,clade,1489920
48342119,Blenniiformes,order,1489921
48342119,Blennioidei,suborder,56717
48342119,Blenniidae,family,56718
48342119,Blenniinae,subfamily,703914
48342119,Omobranchus,genus,57834
48342119,Omobranchus fasciolatoceps,species,57835
48342126,cellular organisms,no rank,131567
48342126,Eukaryota,superkingdom,2759
48342126,Opisthokonta,clade,33154
48342126,Metazoa,kingdom,33208
48342126,Eumetazoa,clade,6072
48342126,Bilateria,clade,33213
48342126,Deuterostomia,clade,33511
48342126,Chordata,phylum,7711
48342126,Craniata,subphylum,89593
48342126,Vertebrata,clade,7742
48342126,Gnathostomata,clade,7776
48342126,Teleostomi,clade,117570
48342126,Euteleostomi,clade,117571
48342126,Actinopterygii,superclass,7898
48342126,Actinopteri,class,186623
48342126,Neopterygii,subclass,41665
48342126,Teleostei,infraclass,32443
48342126,Osteoglossocephalai,clade,1489341
48342126,Clupeocephala,no rank,186625
48342126,Euteleosteomorpha,cohort,1489388
48342126,Neoteleostei,clade,123365
48342126,Eurypterygia,clade,123366
48342126,Ctenosquamata,clade,123367
48342126,Acanthomorphata,clade,123368
48342126,Euacanthomorphacea,clade,123369
48342126,Percomorphaceae,clade,1489872
48342126,Ovalentaria,clade,1489908
48342126,Blenniimorphae,clade,1489920
48342126,Blenniiformes,order,1489921
48342126,Blennioidei,suborder,56717
48342126,Blenniidae,family,56718
48342126,Salariinae,subfamily,703913
48342126,Blenniella,genus,879711
48342126,Blenniella paula,species,1156089
48342129,cellular organisms,no rank,131567
48342129,Eukaryota,superkingdom,2759
48342129,Opisthokonta,clade,33154
48342129,Metazoa,kingdom,33208
48342129,Eumetazoa,clade,6072
48342129,Bilateria,clade,33213
48342129,Deuterostomia,clade,33511
48342129,Chordata,phylum,7711
48342129,Craniata,subphylum,89593
48342129,Vertebrata,clade,7742
48342129,Gnathostomata,clade,7776
48342129,Teleostomi,clade,117570
48342129,Euteleostomi,clade,117571
48342129,Actinopterygii,superclass,7898
48342129,Actinopteri,class,186623
48342129,Neopterygii,subclass,41665
48342129,Teleostei,infraclass,32443
48342129,Osteoglossocephalai,clade,1489341
48342129,Clupeocephala,no rank,186625
48342129,Euteleosteomorpha,cohort,1489388
48342129,Neoteleostei,clade,123365
48342129,Eurypterygia,clade,123366
48342129,Ctenosquamata,clade,123367
48342129,Acanthomorphata,clade,123368
48342129,Euacanthomorphacea,clade,123369
48342129,Percomorphaceae,clade,1489872
48342129,Ovalentaria,clade,1489908
48342129,Blenniimorphae,clade,1489920
48342129,Blenniiformes,order,1489921
48342129,Blennioidei,suborder,56717
48342129,Blenniidae,family,56718
48342129,Salariinae,subfamily,703913
48342129,Entomacrodus,genus,57795
48342129,Entomacrodus randalli,species,1892333
48342130,cellular organisms,no rank,131567
48342130,Eukaryota,superkingdom,2759
48342130,Opisthokonta,clade,33154
48342130,Metazoa,kingdom,33208
48342130,Eumetazoa,clade,6072
48342130,Bilateria,clade,33213
48342130,Deuterostomia,clade,33511
48342130,Chordata,phylum,7711
48342130,Craniata,subphylum,89593
48342130,Vertebrata,clade,7742
48342130,Gnathostomata,clade,7776
48342130,Teleostomi,clade,117570
48342130,Euteleostomi,clade,117571
48342130,Actinopterygii,superclass,7898
48342130,Actinopteri,class,186623
48342130,Neopterygii,subclass,41665
48342130,Teleostei,infraclass,32443
48342130,Osteoglossocephalai,clade,1489341
48342130,Clupeocephala,no rank,186625
48342130,Euteleosteomorpha,cohort,1489388
48342130,Neoteleostei,clade,123365
48342130,Eurypterygia,clade,123366
48342130,Ctenosquamata,clade,123367
48342130,Acanthomorphata,clade,123368
48342130,Euacanthomorphacea,clade,123369
48342130,Percomorphaceae,clade,1489872
48342130,Ovalentaria,clade,1489908
48342130,Blenniimorphae,clade,1489920
48342130,Blenniiformes,order,1489921
48342130,Blennioidei,suborder,56717
48342130,Blenniidae,family,56718
48342130,Salariinae,subfamily,703913
48342130,Salarias,genus,94311
48342130,Salarias guttatus,species,1647168
48342134,cellular organisms,no rank,131567
48342134,Eukaryota,superkingdom,2759
48342134,Opisthokonta,clade,33154
48342134,Metazoa,kingdom,33208
48342134,Eumetazoa,clade,6072
48342134,Bilateria,clade,33213
48342134,Deuterostomia,clade,33511
48342134,Chordata,phylum,7711
48342134,Craniata,subphylum,89593
48342134,Vertebrata,clade,7742
48342134,Gnathostomata,clade,7776
48342134,Teleostomi,clade,117570
48342134,Euteleostomi,clade,117571
48342134,Actinopterygii,superclass,7898
48342134,Actinopteri,class,186623
48342134,Neopterygii,subclass,41665
48342134,Teleostei,infraclass,32443
48342134,Osteoglossocephalai,clade,1489341
48342134,Clupeocephala,no rank,186625
48342134,Euteleosteomorpha,cohort,1489388
48342134,Neoteleostei,clade,123365
48342134,Eurypterygia,clade,123366
48342134,Ctenosquamata,clade,123367
48342134,Acanthomorphata,clade,123368
48342134,Euacanthomorphacea,clade,123369
48342134,Percomorphaceae,clade,1489872
48342134,Ovalentaria,clade,1489908
48342134,Blenniimorphae,clade,1489920
48342134,Blenniiformes,order,1489921
48342134,Blennioidei,suborder,56717
48342134,Blenniidae,family,56718
48342134,Salariinae,subfamily,703913
48342134,Istiblennius,genus,587054
48342134,Istiblennius bellus,species,1146973
