am_sid,name,rank,id
W-Oli-475801,Oligochaeta,subclass,6381
W-Oli-475801,Haplotaxida,order,6382
W-Oli-475801,Tubificina,suborder,6383
W-Oli-475801,Naididae,family,2109251
W-Oli-475801,Limnodriloidinae,subfamily,1780204
W-Oli-475801,Limnodriloides,genus,167820
W-Oli-475801,Limnodriloides barnardi,species,188223
W-Oli-137493,cellular organisms,no rank,131567
W-Oli-137493,Eukaryota,superkingdom,2759
W-Oli-137493,Opisthokonta,clade,33154
W-Oli-137493,Metazoa,kingdom,33208
W-Oli-137493,Eumetazoa,clade,6072
W-Oli-137493,Bilateria,clade,33213
W-Oli-137493,Protostomia,clade,33317
W-Oli-137493,Spiralia,clade,2697495
W-Oli-137493,Lophotrochozoa,clade,1206795
W-Oli-137493,Annelida,phylum,6340
W-Oli-137493,Clitellata,class,42113
W-Oli-137493,Oligochaeta,subclass,6381
W-Oli-137493,Haplotaxida,order,6382
W-Oli-137493,Tubificina,suborder,6383
W-Oli-137493,Naididae,family,2109251
W-Oli-137493,Limnodriloidinae,subfamily,1780204
W-Oli-137493,Limnodriloides,genus,167820
W-Oli-137493,Limnodriloides monothecus,species,188225
W-Oli-475824,cellular organisms,no rank,131567
W-Oli-475824,Eukaryota,superkingdom,2759
W-Oli-475824,Opisthokonta,clade,33154
W-Oli-475824,Metazoa,kingdom,33208
W-Oli-475824,Eumetazoa,clade,6072
W-Oli-475824,Bilateria,clade,33213
W-Oli-475824,Protostomia,clade,33317
W-Oli-475824,Spiralia,clade,2697495
W-Oli-475824,Lophotrochozoa,clade,1206795
W-Oli-475824,Annelida,phylum,6340
W-Oli-475824,Clitellata,class,42113
W-Oli-475824,Oligochaeta,subclass,6381
W-Oli-475824,Haplotaxida,order,6382
W-Oli-475824,Tubificina,suborder,6383
W-Oli-475824,Naididae,family,2109251
W-Oli-475824,Limnodriloidinae,subfamily,1780204
W-Oli-475824,Limnodriloides,genus,167820
W-Oli-475824,Limnodriloides rubicundus,species,188226
W-Iso-118918,cellular organisms,no rank,131567
W-Iso-118918,Eukaryota,superkingdom,2759
W-Iso-118918,Opisthokonta,clade,33154
W-Iso-118918,Metazoa,kingdom,33208
W-Iso-118918,Eumetazoa,clade,6072
W-Iso-118918,Bilateria,clade,33213
W-Iso-118918,Protostomia,clade,33317
W-Iso-118918,Ecdysozoa,clade,1206794
W-Iso-118918,Panarthropoda,clade,88770
W-Iso-118918,Arthropoda,phylum,6656
W-Iso-118918,Mandibulata,clade,197563
W-Iso-118918,Pancrustacea,clade,197562
W-Iso-118918,Crustacea,subphylum,6657
W-Iso-118918,Multicrustacea,superclass,2172821
W-Iso-118918,Malacostraca,class,6681
W-Iso-118918,Eumalacostraca,subclass,72041
W-Iso-118918,Peracarida,superorder,6820
W-Iso-118918,Isopoda,order,29979
W-Iso-118918,Flabellifera,clade,96841
W-Iso-118918,Limnoriidae,family,161571
W-Iso-118918,Limnoria,genus,161572
W-Iso-118918,Limnoria quadripunctata,species,161573
W-Iso-148645,cellular organisms,no rank,131567
W-Iso-148645,Eukaryota,superkingdom,2759
W-Iso-148645,Opisthokonta,clade,33154
W-Iso-148645,Metazoa,kingdom,33208
W-Iso-148645,Eumetazoa,clade,6072
W-Iso-148645,Bilateria,clade,33213
W-Iso-148645,Protostomia,clade,33317
W-Iso-148645,Ecdysozoa,clade,1206794
W-Iso-148645,Panarthropoda,clade,88770
W-Iso-148645,Arthropoda,phylum,6656
W-Iso-148645,Mandibulata,clade,197563
W-Iso-148645,Pancrustacea,clade,197562
W-Iso-148645,Crustacea,subphylum,6657
W-Iso-148645,Multicrustacea,superclass,2172821
W-Iso-148645,Malacostraca,class,6681
W-Iso-148645,Eumalacostraca,subclass,72041
W-Iso-148645,Peracarida,superorder,6820
W-Iso-148645,Isopoda,order,29979
W-Iso-148645,Flabellifera,clade,96841
W-Iso-148645,Limnoriidae,family,161571
W-Iso-148645,Limnoria,genus,161572
W-Iso-148645,Limnoria tripunctata,species,2172532
W-Msc-197236,cellular organisms,no rank,131567
W-Msc-197236,Eukaryota,superkingdom,2759
W-Msc-197236,Opisthokonta,clade,33154
W-Msc-197236,Metazoa,kingdom,33208
W-Msc-197236,Eumetazoa,clade,6072
W-Msc-197236,Bilateria,clade,33213
W-Msc-197236,Protostomia,clade,33317
W-Msc-197236,Spiralia,clade,2697495
W-Msc-197236,Lophotrochozoa,clade,1206795
W-Msc-197236,Mollusca,phylum,6447
W-Msc-197236,Bivalvia,class,6544
W-Msc-197236,Pteriomorphia,subclass,6545
W-Msc-197236,Arcoida,order,6552
W-Msc-197236,Limopsoidea,superfamily,182732
W-Msc-197236,Limopsidae,family,182733
W-Msc-197236,Limopsis,genus,182168
W-Msc-197236,Limopsis marionensis,species,182170
W-Msc-156787,cellular organisms,no rank,131567
W-Msc-156787,Eukaryota,superkingdom,2759
W-Msc-156787,Opisthokonta,clade,33154
W-Msc-156787,Metazoa,kingdom,33208
W-Msc-156787,Eumetazoa,clade,6072
