category,sub_category,spp_gp,trait_val,sheet
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Thaumeledone zeiss,na,cephalopods
foraging range,"if one/few, size",Thaumeledone zeiss,na,cephalopods
foraging range,sub-population dependence on particular sites,Thaumeledone zeiss,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Velodona togata,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Velodona togata,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Velodona togata,na,cephalopods
foraging range,"if one/few, size",Velodona togata,na,cephalopods
foraging range,sub-population dependence on particular sites,Velodona togata,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Vosseledone charrua,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Vosseledone charrua,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Vosseledone charrua,na,cephalopods
foraging range,"if one/few, size",Vosseledone charrua,na,cephalopods
foraging range,sub-population dependence on particular sites,Vosseledone charrua,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Graneledone verrucosa,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Graneledone verrucosa,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Graneledone verrucosa,na,cephalopods
foraging range,"if one/few, size",Graneledone verrucosa,na,cephalopods
foraging range,sub-population dependence on particular sites,Graneledone verrucosa,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Graneledone antarctica,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Graneledone antarctica,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Graneledone antarctica,na,cephalopods
foraging range,"if one/few, size",Graneledone antarctica,na,cephalopods
foraging range,sub-population dependence on particular sites,Graneledone antarctica,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Graneledone boreopacifica,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Graneledone boreopacifica,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Graneledone boreopacifica,na,cephalopods
foraging range,"if one/few, size",Graneledone boreopacifica,na,cephalopods
foraging range,sub-population dependence on particular sites,Graneledone boreopacifica,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Graneledone challengeri,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Graneledone challengeri,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Graneledone challengeri,na,cephalopods
foraging range,"if one/few, size",Graneledone challengeri,na,cephalopods
foraging range,sub-population dependence on particular sites,Graneledone challengeri,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Graneledone gonzalezi,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Graneledone gonzalezi,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Graneledone gonzalezi,na,cephalopods
foraging range,"if one/few, size",Graneledone gonzalezi,na,cephalopods
foraging range,sub-population dependence on particular sites,Graneledone gonzalezi,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Graneledone macrotyla,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Graneledone macrotyla,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Graneledone macrotyla,na,cephalopods
foraging range,"if one/few, size",Graneledone macrotyla,na,cephalopods
foraging range,sub-population dependence on particular sites,Graneledone macrotyla,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Graneledone taniwha,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Graneledone taniwha,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Graneledone taniwha,na,cephalopods
foraging range,"if one/few, size",Graneledone taniwha,na,cephalopods
foraging range,sub-population dependence on particular sites,Graneledone taniwha,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Graneledone yamana,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Graneledone yamana,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Graneledone yamana,na,cephalopods
foraging range,"if one/few, size",Graneledone yamana,na,cephalopods
foraging range,sub-population dependence on particular sites,Graneledone yamana,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Praealtus albida,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Praealtus albida,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Praealtus albida,na,cephalopods
foraging range,"if one/few, size",Praealtus albida,na,cephalopods
foraging range,sub-population dependence on particular sites,Praealtus albida,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Microeledone mangoldae,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Microeledone mangoldae,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Microeledone mangoldae,na,cephalopods
foraging range,"if one/few, size",Microeledone mangoldae,na,cephalopods
foraging range,sub-population dependence on particular sites,Microeledone mangoldae,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Tetracheledone spinicirrus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Tetracheledone spinicirrus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Tetracheledone spinicirrus,na,cephalopods
foraging range,"if one/few, size",Tetracheledone spinicirrus,na,cephalopods
foraging range,sub-population dependence on particular sites,Tetracheledone spinicirrus,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Bathypolypus arcticus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Bathypolypus arcticus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Bathypolypus arcticus,na,cephalopods
foraging range,"if one/few, size",Bathypolypus arcticus,na,cephalopods
foraging range,sub-population dependence on particular sites,Bathypolypus arcticus,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Bathypolypus bairdii,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Bathypolypus bairdii,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Bathypolypus bairdii,na,cephalopods
foraging range,"if one/few, size",Bathypolypus bairdii,na,cephalopods
foraging range,sub-population dependence on particular sites,Bathypolypus bairdii,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Bathypolypus ergasticus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Bathypolypus ergasticus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Bathypolypus ergasticus,na,cephalopods
foraging range,"if one/few, size",Bathypolypus ergasticus,na,cephalopods
foraging range,sub-population dependence on particular sites,Bathypolypus ergasticus,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Bathypolypus pugniger,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Bathypolypus pugniger,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Bathypolypus pugniger,na,cephalopods
foraging range,"if one/few, size",Bathypolypus pugniger,na,cephalopods
foraging range,sub-population dependence on particular sites,Bathypolypus pugniger,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Bathypolypus rubrostiictus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Bathypolypus rubrostiictus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Bathypolypus rubrostiictus,na,cephalopods
foraging range,"if one/few, size",Bathypolypus rubrostiictus,na,cephalopods
foraging range,sub-population dependence on particular sites,Bathypolypus rubrostiictus,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Bathypolypus sponsalis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Bathypolypus sponsalis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Bathypolypus sponsalis,na,cephalopods
foraging range,"if one/few, size",Bathypolypus sponsalis,na,cephalopods
foraging range,sub-population dependence on particular sites,Bathypolypus sponsalis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Bathypolypus valdiviae,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Bathypolypus valdiviae,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Bathypolypus valdiviae,na,cephalopods
foraging range,"if one/few, size",Bathypolypus valdiviae,na,cephalopods
foraging range,sub-population dependence on particular sites,Bathypolypus valdiviae,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Enteroctopus dofleini,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Enteroctopus dofleini,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Enteroctopus dofleini,na,cephalopods
foraging range,"if one/few, size",Enteroctopus dofleini,na,cephalopods
foraging range,sub-population dependence on particular sites,Enteroctopus dofleini,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Enteroctopus megalocyathus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Enteroctopus megalocyathus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Enteroctopus megalocyathus,na,cephalopods
foraging range,"if one/few, size",Enteroctopus megalocyathus,na,cephalopods
foraging range,sub-population dependence on particular sites,Enteroctopus megalocyathus,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Enteroctopus magnificus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Enteroctopus magnificus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Enteroctopus magnificus,na,cephalopods
foraging range,"if one/few, size",Enteroctopus magnificus,na,cephalopods
foraging range,sub-population dependence on particular sites,Enteroctopus magnificus,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Vulcanoctopus hydrothermalis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Vulcanoctopus hydrothermalis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Vulcanoctopus hydrothermalis,na,cephalopods
foraging range,"if one/few, size",Vulcanoctopus hydrothermalis,na,cephalopods
foraging range,sub-population dependence on particular sites,Vulcanoctopus hydrothermalis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Sasakiopus salebrosus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Sasakiopus salebrosus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Sasakiopus salebrosus,na,cephalopods
foraging range,"if one/few, size",Sasakiopus salebrosus,na,cephalopods
foraging range,sub-population dependence on particular sites,Sasakiopus salebrosus,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Muusoctopus januarii,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Muusoctopus januarii,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Muusoctopus januarii,na,cephalopods
foraging range,"if one/few, size",Muusoctopus januarii,na,cephalopods
foraging range,sub-population dependence on particular sites,Muusoctopus januarii,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Muusoctopus bizikovi,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Muusoctopus bizikovi,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Muusoctopus bizikovi,na,cephalopods
foraging range,"if one/few, size",Muusoctopus bizikovi,na,cephalopods
foraging range,sub-population dependence on particular sites,Muusoctopus bizikovi,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Muusoctopus eureka,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Muusoctopus eureka,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Muusoctopus eureka,na,cephalopods
foraging range,"if one/few, size",Muusoctopus eureka,na,cephalopods
foraging range,sub-population dependence on particular sites,Muusoctopus eureka,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Muusoctopus longibrachus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Muusoctopus longibrachus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Muusoctopus longibrachus,na,cephalopods
foraging range,"if one/few, size",Muusoctopus longibrachus,na,cephalopods
foraging range,sub-population dependence on particular sites,Muusoctopus longibrachus,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Muusoctopus karubar,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Muusoctopus karubar,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Muusoctopus karubar,na,cephalopods
foraging range,"if one/few, size",Muusoctopus karubar,na,cephalopods
foraging range,sub-population dependence on particular sites,Muusoctopus karubar,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Muusoctopus abruptus,na,cephalopods
foraging range,"if one/few, size",Muusoctopus abruptus,na,cephalopods
foraging range,sub-population dependence on particular sites,Muusoctopus abruptus,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Muusoctopus berryi,na,cephalopods
foraging range,"if one/few, size",Muusoctopus berryi,na,cephalopods
foraging range,sub-population dependence on particular sites,Muusoctopus berryi,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Muusoctopus canthylus,na,cephalopods
foraging range,"if one/few, size",Muusoctopus canthylus,na,cephalopods
foraging range,sub-population dependence on particular sites,Muusoctopus canthylus,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Muusoctopus clyderoperi,na,cephalopods
foraging range,"if one/few, size",Muusoctopus clyderoperi,na,cephalopods
foraging range,sub-population dependence on particular sites,Muusoctopus clyderoperi,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Muusoctopus hokkaidensis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Muusoctopus hokkaidensis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Muusoctopus hokkaidensis,na,cephalopods
foraging range,"if one/few, size",Muusoctopus hokkaidensis,na,cephalopods
foraging range,sub-population dependence on particular sites,Muusoctopus hokkaidensis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Muusoctopus johnsonianus,na,cephalopods
foraging range,"if one/few, size",Muusoctopus johnsonianus,na,cephalopods
foraging range,sub-population dependence on particular sites,Muusoctopus johnsonianus,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Muusoctopus leioderma,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Muusoctopus leioderma,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Muusoctopus leioderma,na,cephalopods
foraging range,"if one/few, size",Muusoctopus leioderma,na,cephalopods
foraging range,sub-population dependence on particular sites,Muusoctopus leioderma,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Muusoctopus levis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Muusoctopus levis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Muusoctopus levis,na,cephalopods
foraging range,"if one/few, size",Muusoctopus levis,na,cephalopods
foraging range,sub-population dependence on particular sites,Muusoctopus levis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Muusoctopus normani,na,cephalopods
foraging range,"if one/few, size",Muusoctopus normani,na,cephalopods
foraging range,sub-population dependence on particular sites,Muusoctopus normani,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Muusoctopus oregonae,na,cephalopods
foraging range,"if one/few, size",Muusoctopus oregonae,na,cephalopods
foraging range,sub-population dependence on particular sites,Muusoctopus oregonae,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Muusoctopus oregonensis,na,cephalopods
foraging range,"if one/few, size",Muusoctopus oregonensis,na,cephalopods
foraging range,sub-population dependence on particular sites,Muusoctopus oregonensis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Muusoctopus profundorum,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Muusoctopus profundorum,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Muusoctopus profundorum,na,cephalopods
foraging range,"if one/few, size",Muusoctopus profundorum,na,cephalopods
foraging range,sub-population dependence on particular sites,Muusoctopus profundorum,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Muusoctopus pseudonymus,na,cephalopods
foraging range,"if one/few, size",Muusoctopus pseudonymus,na,cephalopods
foraging range,sub-population dependence on particular sites,Muusoctopus pseudonymus,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Muusoctopus rigbyae,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Muusoctopus rigbyae,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Muusoctopus rigbyae,na,cephalopods
foraging range,"if one/few, size",Muusoctopus rigbyae,na,cephalopods
foraging range,sub-population dependence on particular sites,Muusoctopus rigbyae,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Muusoctopus robustus,na,cephalopods
foraging range,"if one/few, size",Muusoctopus robustus,na,cephalopods
foraging range,sub-population dependence on particular sites,Muusoctopus robustus,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Muusoctopus sibiricus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Muusoctopus sibiricus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Muusoctopus sibiricus,na,cephalopods
foraging range,"if one/few, size",Muusoctopus sibiricus,na,cephalopods
foraging range,sub-population dependence on particular sites,Muusoctopus sibiricus,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Muusoctopus tangaroa,na,cephalopods
foraging range,"if one/few, size",Muusoctopus tangaroa,na,cephalopods
foraging range,sub-population dependence on particular sites,Muusoctopus tangaroa,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Muusoctopus tegginmathae,na,cephalopods
foraging range,"if one/few, size",Muusoctopus tegginmathae,na,cephalopods
foraging range,sub-population dependence on particular sites,Muusoctopus tegginmathae,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Muusoctopus thielei,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Muusoctopus thielei,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Muusoctopus thielei,na,cephalopods
foraging range,"if one/few, size",Muusoctopus thielei,na,cephalopods
foraging range,sub-population dependence on particular sites,Muusoctopus thielei,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Muusoctopus yaquinae,na,cephalopods
foraging range,"if one/few, size",Muusoctopus yaquinae,na,cephalopods
foraging range,sub-population dependence on particular sites,Muusoctopus yaquinae,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Eledone,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Eledone,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Eledone,na,cephalopods
foraging range,"if one/few, size",Eledone,na,cephalopods
foraging range,sub-population dependence on particular sites,Eledone,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Octopus small eggs,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Octopus small eggs,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Octopus small eggs,na,cephalopods
foraging range,"if one/few, size",Octopus small eggs,na,cephalopods
foraging range,sub-population dependence on particular sites,Octopus small eggs,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Octopus large eggs,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Octopus large eggs,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Octopus large eggs,na,cephalopods
foraging range,"if one/few, size",Octopus large eggs,na,cephalopods
foraging range,sub-population dependence on particular sites,Octopus large eggs,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Abdopus small eggs,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Abdopus small eggs,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Abdopus small eggs,na,cephalopods
foraging range,"if one/few, size",Abdopus small eggs,na,cephalopods
foraging range,sub-population dependence on particular sites,Abdopus small eggs,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Abdopus large eggs,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Abdopus large eggs,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Abdopus large eggs,na,cephalopods
foraging range,"if one/few, size",Abdopus large eggs,na,cephalopods
foraging range,sub-population dependence on particular sites,Abdopus large eggs,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Ameloctopus llitoralis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Ameloctopus llitoralis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Ameloctopus llitoralis,na,cephalopods
foraging range,"if one/few, size",Ameloctopus llitoralis,na,cephalopods
foraging range,sub-population dependence on particular sites,Ameloctopus llitoralis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Amphioctopus small eggs,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Amphioctopus small eggs,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Amphioctopus small eggs,na,cephalopods
foraging range,"if one/few, size",Amphioctopus small eggs,na,cephalopods
foraging range,sub-population dependence on particular sites,Amphioctopus small eggs,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Amphioctopus large eggs,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Amphioctopus large eggs,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Amphioctopus large eggs,na,cephalopods
foraging range,"if one/few, size",Amphioctopus large eggs,na,cephalopods
foraging range,sub-population dependence on particular sites,Amphioctopus large eggs,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Callistoctopus small eggs,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Callistoctopus small eggs,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Callistoctopus small eggs,na,cephalopods
foraging range,"if one/few, size",Callistoctopus small eggs,na,cephalopods
foraging range,sub-population dependence on particular sites,Callistoctopus small eggs,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Callistoctopus large eggs,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Callistoctopus large eggs,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Callistoctopus large eggs,na,cephalopods
foraging range,"if one/few, size",Callistoctopus large eggs,na,cephalopods
foraging range,sub-population dependence on particular sites,Callistoctopus large eggs,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Cistopus small eggs,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Cistopus small eggs,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Cistopus small eggs,na,cephalopods
foraging range,"if one/few, size",Cistopus small eggs,na,cephalopods
foraging range,sub-population dependence on particular sites,Cistopus small eggs,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Cistopus large eggs,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Cistopus large eggs,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Cistopus large eggs,na,cephalopods
foraging range,"if one/few, size",Cistopus large eggs,na,cephalopods
foraging range,sub-population dependence on particular sites,Cistopus large eggs,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Euaxoctopus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Euaxoctopus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Euaxoctopus,na,cephalopods
foraging range,"if one/few, size",Euaxoctopus,na,cephalopods
foraging range,sub-population dependence on particular sites,Euaxoctopus,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Grimpella thaumastocheir,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Grimpella thaumastocheir,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Grimpella thaumastocheir,na,cephalopods
foraging range,"if one/few, size",Grimpella thaumastocheir,na,cephalopods
foraging range,sub-population dependence on particular sites,Grimpella thaumastocheir,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Hapalochlaena lunulata,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Hapalochlaena lunulata,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Hapalochlaena lunulata,na,cephalopods
foraging range,"if one/few, size",Hapalochlaena lunulata,na,cephalopods
foraging range,sub-population dependence on particular sites,Hapalochlaena lunulata,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Hapalochlaena,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Hapalochlaena,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Hapalochlaena,na,cephalopods
foraging range,"if one/few, size",Hapalochlaena,na,cephalopods
foraging range,sub-population dependence on particular sites,Hapalochlaena,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Histoctopus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Histoctopus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Histoctopus,na,cephalopods
foraging range,"if one/few, size",Histoctopus,na,cephalopods
foraging range,sub-population dependence on particular sites,Histoctopus,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Macrotritopus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Macrotritopus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Macrotritopus,na,cephalopods
foraging range,"if one/few, size",Macrotritopus,na,cephalopods
foraging range,sub-population dependence on particular sites,Macrotritopus,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Paroctopus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Paroctopus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Paroctopus,na,cephalopods
