class,order,family,stressor,taxon,mean_vuln,sd_vuln,n_spp_known,n_spp,n_prob
aves,procellariiformes,procellariidae,biomass_removal,seabirds,0.6968390345649834,0.02260430189797016,84,84,84
aves,procellariiformes,procellariidae,bycatch,seabirds,0.5623459337533051,0.014734831619329642,84,84,84
aves,procellariiformes,procellariidae,entanglement_macroplastic,seabirds,0.3793401405464033,0.1351396921406224,84,84,84
aves,procellariiformes,procellariidae,eutrophication_nutrient_pollution,seabirds,0.08119605366537663,0.0024775224669960454,84,84,84
aves,procellariiformes,procellariidae,habitat_loss_degradation,seabirds,0.15315982419459775,0.005463751110645513,84,84,84
aves,procellariiformes,procellariidae,inorganic_pollution,seabirds,0.1613757864165981,0.013018735122132348,84,84,84
aves,procellariiformes,procellariidae,invasive_species,seabirds,0.601004061337382,0.016826393241439672,84,84,84
aves,procellariiformes,procellariidae,light_pollution,seabirds,0.4912823549513649,0.018364672536275786,84,84,84
aves,procellariiformes,procellariidae,noise_pollution,seabirds,0.4132370818070897,0.011900811256095704,84,84,84
aves,procellariiformes,procellariidae,oa,seabirds,0.07372407109957058,0.002120360606424264,84,84,84
aves,procellariiformes,procellariidae,organic_pollution,seabirds,0.3110376302492396,0.021727090951470907,84,84,84
aves,procellariiformes,procellariidae,plastic_pollution_microplastic,seabirds,0.09749691711686317,0.002684293185107718,84,84,84
aves,procellariiformes,procellariidae,poisons_toxins,seabirds,0.05130507324807693,0.0016912836417985787,84,84,84
aves,procellariiformes,procellariidae,sedimentation,seabirds,0.18537866640180875,0.025470361007231386,84,84,84
aves,procellariiformes,procellariidae,slr,seabirds,0.4936723738472627,0.02906570187822772,84,84,84
aves,procellariiformes,procellariidae,storm_disturbance,seabirds,0.4396569865422861,0.01312969392475577,84,84,84
aves,procellariiformes,procellariidae,water_temp,seabirds,0.09781586000053534,0.002504505917981524,84,84,84
aves,procellariiformes,procellariidae,wildlife_strike,seabirds,0.3572005538466911,0.0864722899696754,84,84,84
bivalvia,cardiida,cardiidae,eutrophication_nutrient_pollution,molluscs,0.48440575147238885,0.013737410938979183,3,3,3
bivalvia,cardiida,cardiidae,inorganic_pollution,molluscs,0.4998665136137572,0.0120560030266495,3,3,3
bivalvia,cardiida,cardiidae,salinity,molluscs,0.39591512029016407,0.02611677752416751,3,3,3
bivalvia,cardiida,cardiidae,water_temp,molluscs,0.2593878063894009,0.016826978791807612,3,3,3
bivalvia,mytilida,mytilidae,air_temp,molluscs,0.24751401790474345,0.016432231076049037,5,5,5
bivalvia,mytilida,mytilidae,eutrophication_nutrient_pollution,molluscs,0.45410821459597944,0.01290341767432801,5,5,5
bivalvia,mytilida,mytilidae,inorganic_pollution,molluscs,0.4651414959625595,0.011266882925801821,5,5,5
bivalvia,mytilida,mytilidae,salinity,molluscs,0.3706323278954973,0.024511913893249592,5,5,5
bivalvia,mytilida,mytilidae,water_temp,molluscs,0.24215112225409877,0.015961847328808492,5,5,5
bivalvia,ostreida,margaritidae,eutrophication_nutrient_pollution,molluscs,0.4832265206174743,0.01374549689342525,2,2,2
bivalvia,ostreida,margaritidae,inorganic_pollution,molluscs,0.49909790968794665,0.012105333483335867,2,2,2
bivalvia,ostreida,margaritidae,salinity,molluscs,0.3937260350863836,0.026169150435112466,2,2,2
bivalvia,ostreida,margaritidae,water_temp,molluscs,0.258183833686528,0.017160220923643374,2,2,2
bivalvia,ostreida,ostreidae,air_temp,molluscs,0.24612103341385874,0.01638474950020756,6,6,6
bivalvia,ostreida,ostreidae,eutrophication_nutrient_pollution,molluscs,0.4678281337814833,0.02012524499345165,6,6,6
bivalvia,ostreida,ostreidae,inorganic_pollution,molluscs,0.48129663068740675,0.02082967127491956,6,6,6
bivalvia,ostreida,ostreidae,salinity,molluscs,0.380553735223518,0.02813377716219772,6,6,6
bivalvia,ostreida,ostreidae,water_temp,molluscs,0.2489075356413045,0.018572628934091426,6,6,6
bivalvia,pectinida,pectinidae,eutrophication_nutrient_pollution,molluscs,0.48361643487237116,0.013772835769100876,5,5,5
bivalvia,pectinida,pectinidae,inorganic_pollution,molluscs,0.4895646242254647,0.023485440428157107,5,5,5
bivalvia,pectinida,pectinidae,salinity,molluscs,0.3942351245461415,0.026069539574475088,5,5,5
bivalvia,pectinida,pectinidae,water_temp,molluscs,0.2723183610825017,0.03184113862698765,5,5,5
cephalopoda,nautilida,nautilidae,biomass_removal,cephalopods,0.7296394143829843,0.01324985531392724,4,4,1
cephalopoda,nautilida,nautilidae,bycatch,cephalopods,0.273527246610963,0.0037382987756674722,4,4,1
cephalopoda,nautilida,nautilidae,entanglement_macroplastic,cephalopods,0.13028375769561643,0.0017037952731557358,4,4,1
cephalopoda,nautilida,nautilidae,eutrophication_nutrient_pollution,cephalopods,0.460799949507877,0.006285292798022715,4,4,1
cephalopoda,nautilida,nautilidae,inorganic_pollution,cephalopods,0.4123340740622654,0.005571251921102929,4,4,1
cephalopoda,nautilida,nautilidae,noise_pollution,cephalopods,0.21149753537606764,0.002988385893194107,4,4,1
cephalopoda,nautilida,nautilidae,oa,cephalopods,0.42012181203783805,0.0059881355574828155,4,4,1
cephalopoda,nautilida,nautilidae,oceanographic,cephalopods,0.1666500895316653,0.002099907063489317,4,4,1
cephalopoda,nautilida,nautilidae,organic_pollution,cephalopods,0.4245993065750858,0.0057163194986260425,4,4,1
cephalopoda,nautilida,nautilidae,plastic_pollution_microplastic,cephalopods,0.291812143033363,0.004235691976689575,4,4,1
cephalopoda,nautilida,nautilidae,poisons_toxins,cephalopods,0.31516976461914614,0.004132303601966423,4,4,1
cephalopoda,nautilida,nautilidae,salinity,cephalopods,0.3514392347923131,0.004394027730470816,4,4,1
cephalopoda,nautilida,nautilidae,sedimentation,cephalopods,0.2615986715581241,0.003433266052215039,4,4,1
cephalopoda,nautilida,nautilidae,slr,cephalopods,0.18237694480013586,0.0024855437033462725,4,4,1
cephalopoda,nautilida,nautilidae,storm_disturbance,cephalopods,0.06637976600248421,8.855313405143232e-4,4,4,1
cephalopoda,nautilida,nautilidae,water_temp,cephalopods,0.22476980312200068,0.0028655739878491113,4,4,1
cephalopoda,octopoda,octopodidae,biomass_removal,cephalopods,0.6538341712386879,0.007620094306620986,135,135,75
cephalopoda,octopoda,octopodidae,bycatch,cephalopods,0.2653058407753566,0.004651951280730427,135,135,75
cephalopoda,octopoda,octopodidae,entanglement_macroplastic,cephalopods,0.12651336183776107,0.002135213321203465,135,135,75
cephalopoda,octopoda,octopodidae,eutrophication_nutrient_pollution,cephalopods,0.4189162177627434,0.006761177027420655,135,135,75
cephalopoda,octopoda,octopodidae,inorganic_pollution,cephalopods,0.37430172377525706,0.012614413432646472,135,135,75
cephalopoda,octopoda,octopodidae,noise_pollution,cephalopods,0.2020950798293666,0.002846633046377497,135,135,75
cephalopoda,octopoda,octopodidae,oa,cephalopods,0.3968080173703208,0.006405694542699168,135,135,75
cephalopoda,octopoda,octopodidae,oceanographic,cephalopods,0.3887405877372452,0.009757878739155056,135,135,75
cephalopoda,octopoda,octopodidae,organic_pollution,cephalopods,0.3894392337674376,0.017671680734073224,135,135,75
cephalopoda,octopoda,octopodidae,plastic_pollution_microplastic,cephalopods,0.27587265369414105,0.004739143435838497,135,135,75
cephalopoda,octopoda,octopodidae,poisons_toxins,cephalopods,0.33434936548510263,0.005653365154026398,135,135,75
cephalopoda,octopoda,octopodidae,salinity,cephalopods,0.3461360735379039,0.007168376662057754,135,135,75
cephalopoda,octopoda,octopodidae,sedimentation,cephalopods,0.28699007699325063,0.004853479684119392,135,135,75
cephalopoda,octopoda,octopodidae,slr,cephalopods,0.16778829850748148,0.0014997534788894307,135,135,75
cephalopoda,octopoda,octopodidae,storm_disturbance,cephalopods,0.0609659763861049,0.0015554929417621601,135,135,75
cephalopoda,octopoda,octopodidae,water_temp,cephalopods,0.37186997971645414,0.01660726129896742,135,135,75
echinoidea,camarodonta,parechinidae,eutrophication_nutrient_pollution,echinoderms,0.38936541636249217,0.0037643034618216067,2,2,1
echinoidea,camarodonta,parechinidae,inorganic_pollution,echinoderms,0.3778700788887226,0.015061695248745179,2,2,1
echinoidea,camarodonta,parechinidae,oa,echinoderms,0.41977409783858216,0.0028308205394698134,2,2,1
echinoidea,camarodonta,parechinidae,organic_pollution,echinoderms,0.3471575852760634,0.02092085725108059,2,2,1
echinoidea,camarodonta,parechinidae,plastic_pollution_microplastic,echinoderms,0.14618550334043465,0.049189193630142486,2,2,1
echinoidea,camarodonta,parechinidae,poisons_toxins,echinoderms,0.3320701637414559,0.024170053019108892,2,2,1
echinoidea,camarodonta,parechinidae,salinity,echinoderms,0.42256872556194597,0.004063285012130194,2,2,1
echinoidea,camarodonta,parechinidae,sedimentation,echinoderms,0.1789484201587076,0.02500028568120745,2,2,1
echinoidea,camarodonta,toxopneustidae,eutrophication_nutrient_pollution,echinoderms,0.43255289455150986,0.005075247641269026,2,2,2
echinoidea,camarodonta,toxopneustidae,inorganic_pollution,echinoderms,0.454720701410351,0.005933842063060513,2,2,2
echinoidea,camarodonta,toxopneustidae,oa,echinoderms,0.4358411918967582,0.003588151381925605,2,2,2
echinoidea,camarodonta,toxopneustidae,organic_pollution,echinoderms,0.41678812174861024,0.005409192754525799,2,2,2
echinoidea,camarodonta,toxopneustidae,plastic_pollution_microplastic,echinoderms,0.1004377668291128,8.921857241921858e-4,2,2,2
echinoidea,camarodonta,toxopneustidae,poisons_toxins,echinoderms,0.31758678053065154,0.004156243218094676,2,2,2
echinoidea,camarodonta,toxopneustidae,salinity,echinoderms,0.43840628048356495,0.005121662425648378,2,2,2
echinoidea,camarodonta,toxopneustidae,sedimentation,echinoderms,0.1587981013260354,0.002088759140647293,2,2,2
elasmobranchii,carcharhiniformes,carcharhinidae,air_temp,elasmobranchs,0.009314577610310662,0.030328201617146677,58,58,4
elasmobranchii,carcharhiniformes,carcharhinidae,biomass_removal,elasmobranchs,0.8068897941540225,0.028234704501495136,58,58,4
elasmobranchii,carcharhiniformes,carcharhinidae,bycatch,elasmobranchs,0.31816296648864395,0.006087688876918512,58,58,4
elasmobranchii,carcharhiniformes,carcharhinidae,entanglement_macroplastic,elasmobranchs,0.334667776447727,0.1466322187337576,58,58,55
elasmobranchii,carcharhiniformes,carcharhinidae,eutrophication_nutrient_pollution,elasmobranchs,0.17912831578037436,0.0029728506232695705,58,58,4
elasmobranchii,carcharhiniformes,carcharhinidae,habitat_loss_degradation,elasmobranchs,0.021621331624971825,0.06593955147218425,58,58,4
elasmobranchii,carcharhiniformes,carcharhinidae,inorganic_pollution,elasmobranchs,0.17865838658970484,0.02152742411942275,58,58,55
elasmobranchii,carcharhiniformes,carcharhinidae,invasive_species,elasmobranchs,0.05313851592776902,0.17302244268449973,58,58,4
elasmobranchii,carcharhiniformes,carcharhinidae,light_pollution,elasmobranchs,0.032343955407570506,0.10531224559081534,58,58,4
elasmobranchii,carcharhiniformes,carcharhinidae,noise_pollution,elasmobranchs,0.15161543226183433,0.020193685727125835,58,58,4
elasmobranchii,carcharhiniformes,carcharhinidae,oa,elasmobranchs,0.04114337620921057,5.871655506205341e-4,58,58,4
elasmobranchii,carcharhiniformes,carcharhinidae,organic_pollution,elasmobranchs,0.32217186811568893,0.04949478690942099,58,58,55
elasmobranchii,carcharhiniformes,carcharhinidae,plastic_pollution_microplastic,elasmobranchs,0.3358898996110612,0.007038412772857133,58,58,4
elasmobranchii,carcharhiniformes,carcharhinidae,poisons_toxins,elasmobranchs,0.28739924087250984,0.013368429332547402,58,58,4
elasmobranchii,carcharhiniformes,carcharhinidae,sedimentation,elasmobranchs,0.19619611071774487,0.027328834662269964,58,58,55
elasmobranchii,carcharhiniformes,carcharhinidae,slr,elasmobranchs,0.1731017875204541,0.004040127429548704,58,58,4
elasmobranchii,carcharhiniformes,carcharhinidae,storm_disturbance,elasmobranchs,0.06884048504690675,0.0011142350059982588,58,58,4
elasmobranchii,carcharhiniformes,carcharhinidae,water_temp,elasmobranchs,0.00936534207519865,0.030493807365306373,58,58,4
elasmobranchii,carcharhiniformes,carcharhinidae,wildlife_strike,elasmobranchs,0.1267602379179583,0.09933211872424644,58,58,55
elasmobranchii,carcharhiniformes,scyliorhinidae,biomass_removal,elasmobranchs,0.903646523742812,0.05782638103114942,68,68,13
elasmobranchii,carcharhiniformes,scyliorhinidae,bycatch,elasmobranchs,0.4093850922684055,0.02378434180555589,68,68,13
elasmobranchii,carcharhiniformes,scyliorhinidae,entanglement_macroplastic,elasmobranchs,0.2972046497478164,0.18005436220623483,68,68,52
elasmobranchii,carcharhiniformes,scyliorhinidae,eutrophication_nutrient_pollution,elasmobranchs,0.2398254759839425,0.012954411618762979,68,68,13
elasmobranchii,carcharhiniformes,scyliorhinidae,inorganic_pollution,elasmobranchs,0.23670526597684968,0.01779763317726594,68,68,52
elasmobranchii,carcharhiniformes,scyliorhinidae,oa,elasmobranchs,0.05314980538463743,0.0030370189943743128,68,68,13
elasmobranchii,carcharhiniformes,scyliorhinidae,oceanographic,elasmobranchs,0.26199790643711385,0.014765099004033392,68,68,13
elasmobranchii,carcharhiniformes,scyliorhinidae,organic_pollution,elasmobranchs,0.38437223836137097,0.034813742721399615,68,68,52
elasmobranchii,carcharhiniformes,scyliorhinidae,plastic_pollution_microplastic,elasmobranchs,0.41924102271884567,0.024931419299813424,68,68,13
elasmobranchii,carcharhiniformes,scyliorhinidae,poisons_toxins,elasmobranchs,0.3686306896322018,0.01943637011074953,68,68,13
elasmobranchii,carcharhiniformes,scyliorhinidae,salinity,elasmobranchs,0.2276178788568927,0.01229338505837039,68,68,13
elasmobranchii,carcharhiniformes,scyliorhinidae,sedimentation,elasmobranchs,0.2752760146875896,0.03252386841123759,68,68,52
elasmobranchii,carcharhiniformes,scyliorhinidae,storm_disturbance,elasmobranchs,0.0943176653330372,0.005094796706599437,68,68,13
elasmobranchii,carcharhiniformes,triakidae,biomass_removal,elasmobranchs,0.863193783438666,0.013586684709945219,46,46,45
elasmobranchii,carcharhiniformes,triakidae,bycatch,elasmobranchs,0.3928329075101103,0.005633965009136765,46,46,45
elasmobranchii,carcharhiniformes,triakidae,entanglement_macroplastic,elasmobranchs,0.3740941289607679,0.18668846604995198,46,46,45
elasmobranchii,carcharhiniformes,triakidae,eutrophication_nutrient_pollution,elasmobranchs,0.23084161025994557,0.003095307072281942,46,46,45
elasmobranchii,carcharhiniformes,triakidae,inorganic_pollution,elasmobranchs,0.21981582207193576,0.018134281142345797,46,46,45
elasmobranchii,carcharhiniformes,triakidae,oa,elasmobranchs,0.051038878572002885,7.240490616369771e-4,46,46,45
elasmobranchii,carcharhiniformes,triakidae,oceanographic,elasmobranchs,0.25172672200234747,0.0035172950464894695,46,46,45
elasmobranchii,carcharhiniformes,triakidae,organic_pollution,elasmobranchs,0.38233136148074914,0.024918170751077218,46,46,45
elasmobranchii,carcharhiniformes,triakidae,plastic_pollution_microplastic,elasmobranchs,0.40185267079324466,0.0059068225049240235,46,46,45
elasmobranchii,carcharhiniformes,triakidae,poisons_toxins,elasmobranchs,0.355161253898781,0.004640884407968319,46,46,45
elasmobranchii,carcharhiniformes,triakidae,salinity,elasmobranchs,0.2190942615853907,0.002932158441723492,46,46,45
elasmobranchii,carcharhiniformes,triakidae,sedimentation,elasmobranchs,0.2484761092393733,0.03622644273328275,46,46,45
elasmobranchii,carcharhiniformes,triakidae,storm_disturbance,elasmobranchs,0.09078506837715354,0.0012158846902823952,46,46,45
elasmobranchii,lamniformes,lamnidae,biomass_removal,elasmobranchs,0.8016790299518253,0.01906847117955416,5,5,1
elasmobranchii,lamniformes,lamnidae,bycatch,elasmobranchs,0.4039977464344006,0.12434340230686793,5,5,1
elasmobranchii,lamniformes,lamnidae,entanglement_macroplastic,elasmobranchs,0.5076705819295221,0.05040505678558825,5,5,1
elasmobranchii,lamniformes,lamnidae,eutrophication_nutrient_pollution,elasmobranchs,0.19168082081018176,0.0061782582977252505,5,5,1
elasmobranchii,lamniformes,lamnidae,inorganic_pollution,elasmobranchs,0.17633018776068346,0.008941400323526555,5,5,1
