iucn_sid,name,rank
7855,Actinopteri,class
7855,Perciformes,order
7855,Serranidae,family
7855,Hyporthodus,genus
7855,Hyporthodus exsul,species
7858,Metazoa,kingdom
7858,Chordata,phylum
7858,Actinopteri,class
7858,Perciformes,order
7858,Serranidae,family
7858,Epinephelus,genus
7858,Epinephelus lanceolatus,species
7859,Metazoa,kingdom
7859,Chordata,phylum
7859,Actinopteri,class
7859,Perciformes,order
7859,Serranidae,family
7859,Epinephelus,genus
7859,Epinephelus marginatus,species
7860,Metazoa,kingdom
7860,Chordata,phylum
7860,Actinopteri,class
7860,Perciformes,order
7860,Serranidae,family
7860,Hyporthodus,genus
7860,Hyporthodus nigritus,species
7861,Metazoa,kingdom
7861,Chordata,phylum
7861,Actinopteri,class
7861,Perciformes,order
7861,Serranidae,family
7861,Hyporthodus,genus
7861,Hyporthodus niveatus,species
7862,Metazoa,kingdom
7862,Chordata,phylum
7862,Actinopteri,class
7862,Perciformes,order
7862,Serranidae,family
7862,Epinephelus,genus
7862,Epinephelus striatus,species
8005,Metazoa,kingdom
8005,Chordata,phylum
8005,Testudines,order
8005,Cheloniidae,family
8005,Eretmochelys,genus
8005,Eretmochelys imbricata,species
8010,Metazoa,kingdom
8010,Chordata,phylum
8010,Mammalia,class
8010,Carnivora,order
8010,Phocidae,family
8010,Erignathus,genus
8010,Erignathus barbatus,species
8097,Metazoa,kingdom
8097,Chordata,phylum
8097,Mammalia,class
8097,Artiodactyla,order
8097,Eschrichtiidae,family
8097,Eschrichtius,genus
8097,Eschrichtius robustus,species
8099,Metazoa,kingdom
8099,Chordata,phylum
8099,Mammalia,class
8099,Artiodactyla,order
8099,Eschrichtiidae,family
8099,Eschrichtius,genus
8099,Eschrichtius robustus,species
8153,Metazoa,kingdom
8153,Chordata,phylum
8153,Mammalia,class
8153,Artiodactyla,order
8153,Balaenidae,family
8153,Eubalaena,genus
8153,Eubalaena australis,species
8239,Metazoa,kingdom
8239,Chordata,phylum
8239,Mammalia,class
8239,Carnivora,order
8239,Otariidae,family
8239,Eumetopias,genus
8239,Eumetopias jubatus,species
8407,Metazoa,kingdom
8407,Chordata,phylum
8407,Actinopteri,class
8407,Syngnathiformes,order
8407,Pegasidae,family
8407,Eurypegasus,genus
8407,Eurypegasus draconis,species
8409,Metazoa,kingdom
8409,Chordata,phylum
8409,Actinopteri,class
8409,Syngnathiformes,order
8409,Pegasidae,family
8409,Eurypegasus,genus
8409,Eurypegasus draconis,species
8551,Metazoa,kingdom
8551,Chordata,phylum
8551,Mammalia,class
8551,Artiodactyla,order
8551,Delphinidae,family
8551,Feresa,genus
8551,Feresa attenuata,species
9249,Metazoa,kingdom
9249,Chordata,phylum
9249,Mammalia,class
9249,Artiodactyla,order
9249,Delphinidae,family
9249,Globicephala,genus
9249,Globicephala macrorhynchus,species
9250,Metazoa,kingdom
9250,Chordata,phylum
9250,Mammalia,class
9250,Artiodactyla,order
9250,Delphinidae,family
9250,Globicephala,genus
9250,Globicephala melas,species
9281,Metazoa,kingdom
9281,Chordata,phylum
9281,Chondrichthyes,class
9281,Carcharhiniformes,order
