am_sid,name,rank
SLB-88849,Hydrophiidae,family
SLB-88849,Hydrophis,genus
SLB-88849,Hydrophis peronii,species
ITS-97319,Metazoa,kingdom
ITS-97319,Arthropoda,phylum
ITS-97319,Malacostraca,class
ITS-97319,Decapoda,order
ITS-97319,Nephropidae,family
ITS-97319,Acanthacaris,genus
ITS-97319,Acanthacaris caeca,species
ITS-552914,Metazoa,kingdom
ITS-552914,Arthropoda,phylum
ITS-552914,Malacostraca,class
ITS-552914,Decapoda,order
ITS-552914,Nephropidae,family
ITS-552914,Acanthacaris,genus
ITS-552914,Acanthacaris tenuimana,species
Fis-22077,Metazoa,kingdom
Fis-22077,Chordata,phylum
Fis-22077,Actinopteri,class
Fis-22077,Tetraodontiformes,order
Fis-22077,Monacanthidae,family
Fis-22077,Acanthaluteres,genus
Fis-22077,Acanthaluteres brownii,species
Fis-125479,Metazoa,kingdom
Fis-125479,Chordata,phylum
Fis-125479,Actinopteri,class
Fis-125479,Tetraodontiformes,order
Fis-125479,Monacanthidae,family
Fis-125479,Acanthaluteres,genus
Fis-125479,Acanthaluteres spilomelanurus,species
Fis-119913,Metazoa,kingdom
Fis-119913,Chordata,phylum
Fis-119913,Actinopteri,class
Fis-119913,Tetraodontiformes,order
Fis-119913,Monacanthidae,family
Fis-119913,Acanthaluteres,genus
Fis-119913,Acanthaluteres vittiger,species
Fis-115260,Metazoa,kingdom
Fis-115260,Chordata,phylum
Fis-115260,Actinopteri,class
Fis-115260,Pempheriformes,order
Fis-115260,Percophidae,family
Fis-115260,Acanthaphritis,genus
Fis-115260,Acanthaphritis barbata,species
ITS-553044,Metazoa,kingdom
ITS-553044,Arthropoda,phylum
ITS-553044,Malacostraca,class
ITS-553044,Decapoda,order
ITS-553044,Scyllaridae,family
ITS-553044,Acantharctus,genus
ITS-553044,Acantharctus ornatus,species
W-Ase-213289,Metazoa,kingdom
W-Ase-213289,Echinodermata,phylum
W-Ase-213289,Asteroidea,class
W-Ase-213289,Valvatida,order
W-Ase-213289,Acanthasteridae,family
W-Ase-213289,Acanthaster,genus
W-Ase-213289,Acanthaster planci,species
URM-Cn-5845,Metazoa,kingdom
URM-Cn-5845,Cnidaria,phylum
URM-Cn-5845,Anthozoa,class
