rank,name,id,species,db
subclass,holocephali,7863,hydrolagus ogilbyi,ncbi
order,chimaeriformes,7864,hydrolagus ogilbyi,ncbi
family,chimaeridae,7869,hydrolagus ogilbyi,ncbi
genus,hydrolagus,7872,hydrolagus ogilbyi,ncbi
species,hydrolagus ogilbyi,334986,hydrolagus ogilbyi,ncbi
kingdom,metazoa,33208,hydrolagus mitsukurii,ncbi
phylum,chordata,7711,hydrolagus mitsukurii,ncbi
class,chondrichthyes,7777,hydrolagus mitsukurii,ncbi
subclass,holocephali,7863,hydrolagus mitsukurii,ncbi
order,chimaeriformes,7864,hydrolagus mitsukurii,ncbi
family,chimaeridae,7869,hydrolagus mitsukurii,ncbi
genus,hydrolagus,7872,hydrolagus mitsukurii,ncbi
species,hydrolagus mitsukurii,195309,hydrolagus mitsukurii,ncbi
kingdom,metazoa,33208,hydrolagus barbouri,ncbi
phylum,chordata,7711,hydrolagus barbouri,ncbi
class,chondrichthyes,7777,hydrolagus barbouri,ncbi
subclass,holocephali,7863,hydrolagus barbouri,ncbi
order,chimaeriformes,7864,hydrolagus barbouri,ncbi
family,chimaeridae,7869,hydrolagus barbouri,ncbi
genus,hydrolagus,7872,hydrolagus barbouri,ncbi
species,hydrolagus barbouri,134991,hydrolagus barbouri,ncbi
kingdom,metazoa,33208,hydrolagus colliei,ncbi
phylum,chordata,7711,hydrolagus colliei,ncbi
class,chondrichthyes,7777,hydrolagus colliei,ncbi
subclass,holocephali,7863,hydrolagus colliei,ncbi
order,chimaeriformes,7864,hydrolagus colliei,ncbi
family,chimaeridae,7869,hydrolagus colliei,ncbi
genus,hydrolagus,7872,hydrolagus colliei,ncbi
species,hydrolagus colliei,7873,hydrolagus colliei,ncbi
kingdom,metazoa,33208,chimaera argiloba,ncbi
phylum,chordata,7711,chimaera argiloba,ncbi
class,chondrichthyes,7777,chimaera argiloba,ncbi
subclass,holocephali,7863,chimaera argiloba,ncbi
order,chimaeriformes,7864,chimaera argiloba,ncbi
family,chimaeridae,7869,chimaera argiloba,ncbi
genus,chimaera,7870,chimaera argiloba,ncbi
species,chimaera argiloba,1940119,chimaera argiloba,ncbi
kingdom,metazoa,33208,chimaera carophila,ncbi
phylum,chordata,7711,chimaera carophila,ncbi
class,chondrichthyes,7777,chimaera carophila,ncbi
subclass,holocephali,7863,chimaera carophila,ncbi
order,chimaeriformes,7864,chimaera carophila,ncbi
family,chimaeridae,7869,chimaera carophila,ncbi
genus,chimaera,7870,chimaera carophila,ncbi
species,chimaera carophila,1859491,chimaera carophila,ncbi
kingdom,metazoa,33208,chimaera fulva,ncbi
phylum,chordata,7711,chimaera fulva,ncbi
class,chondrichthyes,7777,chimaera fulva,ncbi
subclass,holocephali,7863,chimaera fulva,ncbi
order,chimaeriformes,7864,chimaera fulva,ncbi
family,chimaeridae,7869,chimaera fulva,ncbi
genus,chimaera,7870,chimaera fulva,ncbi
species,chimaera fulva,765187,chimaera fulva,ncbi
kingdom,metazoa,33208,chimaera panthera,ncbi
phylum,chordata,7711,chimaera panthera,ncbi
class,chondrichthyes,7777,chimaera panthera,ncbi
subclass,holocephali,7863,chimaera panthera,ncbi
order,chimaeriformes,7864,chimaera panthera,ncbi
family,chimaeridae,7869,chimaera panthera,ncbi
genus,chimaera,7870,chimaera panthera,ncbi
species,chimaera panthera,495842,chimaera panthera,ncbi
