taxon,spp_gp,stressor,sens_score,adcap_gen_score,adcap_spec_score,vuln_raw,sd_sens,sd_acg,sd_acs,sd_vuln_raw,exposure_mod,vuln,sd_vuln
elasmobranchs,pateobatis,entanglement_macroplastic,0.5555696,2.33,0.45,0.30202878865081634,0.44500186047071566,0,0,0.24191995542112052,1,0.3324785575338687,0.2663097056951845
elasmobranchs,himantura,entanglement_macroplastic,0.5543592,2.33,0.45,0.3013707691231407,0.4450017636381416,0,0,0.24191990277924624,1,0.33175419816280344,0.2663096477460913
elasmobranchs,urogymnus,entanglement_macroplastic,0.5543058,2.33,0.45,0.3013417388498609,0.4450016835376508,0,0,0.24191985923356968,1,0.331722241131727,0.2663095998102511
elasmobranchs,maculabatis,entanglement_macroplastic,0.5539854,2.33,0.45,0.30116755721018207,0.4450010683654012,0,0,0.24191952480251114,1,0.3315304989452686,0.2663092316627098
elasmobranchs,gymnuridae,entanglement_macroplastic,0.5530153,2.33,0.45,0.30064017391226555,0.4449977990915483,0,0,0.24191774750076261,1,0.3309499462140471,0.2663072751779512
elasmobranchs,bathyraja,entanglement_macroplastic,0.5570025,2.33,0.45,0.30280776765049117,0.44499771934634913,0,0,0.24191770414823593,1,0.33333607120108566,0.26630722745473384
elasmobranchs,dipturus,entanglement_macroplastic,0.5540922,2.44,0.45,0.2994204413107211,0.4450012990550945,0,0,0.24046988090956803,1,0.3296072432957257,0.26471343838546457
elasmobranchs,aptychotrema,entanglement_macroplastic,0.5543236,2.55,0.45,0.2977610710760626,0.4450017109498204,0,0,0.23903760562079435,1,0.327780579604167,0.26313676477057474
elasmobranchs,trygonorrhina,entanglement_macroplastic,0.5565486,2.55,0.45,0.2989562545088882,0.4449995304310566,0,0,0.23903643433095093,1,0.32909625836945733,0.26313547539428933
elasmobranchs,zapteryx,entanglement_macroplastic,0.5534158,2.55,0.45,0.29727343623546976,0.44499940511765346,0,0,0.2390363670174664,1,0.3272437826679286,0.2631354012944317
elasmobranchs,amblyraja,entanglement_macroplastic,0.5551335,2.6700000000000004,0.45,0.29627076534030305,0.4450022049915871,0,0,0.2374944834908719,1,0.32614002506126005,0.2614380690199244
elasmobranchs,zearaja,entanglement_macroplastic,0.5551513,2.6700000000000004,0.45,0.29628026507257116,0.44500219929555834,0,0,0.2374944804509422,1,0.3261504825322037,0.2614380656735168
elasmobranchs,dactylobatus,entanglement_macroplastic,0.5553827,2.6700000000000004,0.45,0.29640376159205656,0.4450020604548345,0,0,0.23749440635264407,1,0.326286429654471,0.261437984104818
elasmobranchs,beringraja,entanglement_macroplastic,0.5558099,2.6700000000000004,0.45,0.29663175516649115,0.44500148800339223,0,0,0.23749410083941738,1,0.32653740895711836,0.2614376477905303
elasmobranchs,orbiraja,entanglement_macroplastic,0.5563261,2.6700000000000004,0.45,0.29690724740226626,0.44500024911342134,0,0,0.23749343965273012,1,0.3268406756144839,0.26143691994469476
